file,n_cycles,readme_C,readme_T,I_dis_meas,I_chg_meas,Crate_from_I,qd1,soh1_repo,dis_int1,Crate_vs_measQ,last_soh,min_soh,label,in_split,family
NA-ion_270040-5-3-37.pkl,211,5.1,25,5.101,5.101,5.1,0.898,0.898,0.8982,5.68,0.8182,0.8182,255.0,"NAion_2021:train,NAion_42:val,NAion_2024:train",batch2_csv
NA-ion_270040-5-4-36.pkl,108,2.5,25,2.5,2.5,2.5,0.8441,0.8441,0.8438,2.96,0.7942,0.7942,,-,batch2_csv
NA-ion_270040-5-5-35.pkl,244,5.7,25,5.701,5.701,5.7,0.8983,0.8983,0.8978,6.35,0.7574,0.7574,180.0,"NAion_2021:val,NAion_42:val,NAion_2024:train",batch2_csv
NA-ion_270040-5-6-34.pkl,223,5.1,25,5.1,5.101,5.1,0.8955,0.8955,0.8954,5.7,0.7262,0.7262,131.0,"NAion_2021:train,NAion_42:train,NAion_2024:train",batch2_csv
NA-ion_270040-5-7-33.pkl,212,5.0,25,5.0,5.001,5.0,0.891,0.891,0.8889,5.61,0.7817,0.7817,177.0,"NAion_2021:train,NAion_42:train,NAion_2024:train",batch2_csv
NA-ion_270040-5-8-32.pkl,200,4.5,25,4.501,4.501,4.5,0.8692,0.8692,0.8688,5.18,0.7358,0.7358,102.0,"NAion_2021:test,NAion_42:val,NAion_2024:train",batch2_csv
NA-ion_270040-6-1-31.pkl,244,6.0,25,6.0,6.001,6.0,0.9132,0.9132,0.9134,6.57,0.838,0.838,,-,batch2_csv
NA-ion_270040-6-2-30.pkl,171,4.0,25,4.0,4.001,4.0,0.8717,0.8717,0.8711,4.59,0.7928,0.7928,154.0,"NAion_2021:train,NAion_42:train,NAion_2024:val",batch2_csv
NA-ion_270040-6-3-29.pkl,239,6.0,25,6.001,6.001,6.0,0.9159,0.9159,0.9167,6.55,0.8702,0.8702,,-,batch2_csv
NA-ion_270040-6-4-28.pkl,238,6.0,25,6.001,6.001,6.0,0.9244,0.9244,0.9251,6.49,0.8682,0.8682,,-,batch2_csv
NA-ion_270040-6-5-27.pkl,101,2.0,25,2.0,2.0,2.0,0.7043,0.7043,0.7039,2.84,0.6999,0.6999,,-,batch2_csv
NA-ion_270040-6-6-26.pkl,241,5.7,25,5.7,5.701,5.7,0.8971,0.8971,0.8962,6.35,0.7965,0.7965,232.0,"NAion_2021:train,NAion_42:val,NAion_2024:train",batch2_csv
NA-ion_270040-6-7-25.pkl,239,6.0,25,6.0,6.0,6.0,0.9249,0.9249,0.9249,6.49,0.8647,0.8647,,-,batch2_csv
NA-ion_270040-6-8-24.pkl,235,5.7,25,5.7,5.701,5.7,0.8993,0.8993,0.8993,6.34,0.8174,0.8174,269.0,"NAion_2021:train,NAion_42:train,NAion_2024:train",batch2_csv
NA-ion_270040-7-1-23.pkl,248,5.8,25,5.8,5.8,5.8,0.8958,0.8958,0.8958,6.47,0.7463,0.7463,182.0,"NAion_2021:train,NAion_42:train,NAion_2024:val",batch2_csv
NA-ion_270040-7-2-22.pkl,179,4.0,25,4.0,4.0,4.0,0.8629,0.8629,0.8633,4.64,0.7285,0.7285,,-,batch2_csv
NA-ion_270040-7-3-21.pkl,242,6.0,25,6.0,6.0,6.0,0.8995,0.8995,0.9,6.67,0.8641,0.8641,,-,batch2_csv
NA-ion_270040-8-1-20.pkl,239,6.0,25,6.0,6.001,6.0,0.9219,0.9219,0.9217,6.51,0.8649,0.8649,,-,batch2_csv
NA-ion_270040-8-2-19.pkl,239,6.0,25,6.0,6.0,6.0,0.9102,0.9102,0.9084,6.59,0.8749,0.8749,,-,batch2_csv
NA-ion_270040-8-3-18.pkl,97,2.0,25,2.0,2.0,2.0,0.7352,0.7352,0.7356,2.72,0.7168,0.7168,,-,batch2_csv
NA-ion_270040-8-4-17.pkl,237,6.0,25,6.0,6.0,6.0,0.9291,0.9291,0.9301,6.46,0.8762,0.8762,,-,batch2_csv
NA-ion_270040-8-5-16.pkl,128,3.0,25,3.0,3.0,3.0,0.8612,0.8612,0.8617,3.48,0.8073,0.8073,148.0,"NAion_2021:train,NAion_42:test,NAion_2024:test",batch2_csv
NA-ion_270040-8-6-15.pkl,236,6.0,25,6.0,6.0,6.0,0.9234,0.9234,0.9234,6.5,0.8807,0.8807,,-,batch2_csv
NA-ion_270040-8-7-14.pkl,234,6.0,25,6.0,6.0,6.0,0.9254,0.9254,0.925,6.48,0.8997,0.8997,,-,batch2_csv
NA-ion_270040-8-8-13.pkl,239,6.0,25,6.0,6.0,6.0,0.9145,0.9145,0.915,6.56,0.8647,0.8647,,-,batch2_csv
NA-ion_2850-30_20250117105706_DefaultGroup_45_2.pkl,170,2.9,30,2.9,2.9,2.9,0.8895,0.8895,0.8892,3.26,0.8386,0.8386,,-,batch1_xlsx
NA-ion_4000-30_20250115110206_DefaultGroup_45_1.pkl,119,3.9,30,4.0,4.0,4.0,0.8934,0.8934,0.8943,4.48,0.5166,0.5166,119.0,-,batch1_xlsx
NA-ion_4500-30_20250114232539_DefaultGroup_45_8.pkl,164,4.5,30,4.5,4.5,4.5,0.8863,0.8863,0.8862,5.08,0.6263,0.6263,164.0,-,batch1_xlsx
NA-ion_5000-25_20250115110326_DefaultGroup_38_1.pkl,135,5.0,25,5.001,5.0,5.0,0.9781,0.9781,0.9779,5.11,0.5709,0.5709,135.0,-,batch1_xlsx
NA-ion_5000-25_20250115110326_DefaultGroup_38_2.pkl,137,5.0,25,5.0,5.0,5.0,0.9646,0.9646,0.9653,5.18,0.8459,0.8459,,-,batch1_xlsx
