subset,file,split,label,n_cycles,n_cycles_after,repro_denom,repro_both,branch_repo,label_gt_ncycles,cycle_number_at_label,soh_at_label_repo,soh_before_repo,max_soh_after_repo,n_above_after_repo,first_crossing_repo,last_crossing_repo,soh_at_label_dis1,soh_before_dis1,max_soh_after_dis1,n_above_after_dis1,first_crossing_dis1,last_crossing_dis1,soh_at_label,soh_before,max_soh_after,n_above_after,last_crossing,first_crossing
HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_j.pkl,val,262,1076,814,repo,False,first_cross,False,262.0,0.79857,0.80036,0.80357,5.0,262.0,300.0,0.84314,0.84502,0.84842,90.0,353.0,353.0,0.79857,0.80036,0.80357,5.0,300.0,262.0
HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_e.pkl,train,259,1107,848,repo,False,first_cross,False,259.0,0.79714,0.80179,0.80286,11.0,259.0,304.0,0.84449,0.84941,0.85055,97.0,353.0,380.0,0.79714,0.80179,0.80286,11.0,304.0,259.0
HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_b.pkl,train,218,1080,862,repo,False,first_cross,False,218.0,0.7975,0.80321,0.8025,4.0,218.0,225.0,0.8497,0.85578,0.85502,109.0,328.0,328.0,0.7975,0.80321,0.8025,4.0,225.0,218.0
HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_c.pkl,train,255,1081,826,repo,False,first_cross,False,255.0,0.79857,0.8,0.79786,0.0,255.0,255.0,0.84155,0.84306,0.8408,86.0,339.0,345.0,0.79857,0.8,0.79786,0.0,255.0,255.0
HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_g.pkl,train,247,1082,835,repo,False,first_cross,False,247.0,0.79893,0.80036,0.7975,0.0,247.0,247.0,0.84543,0.84694,0.84392,84.0,332.0,332.0,0.79893,0.80036,0.7975,0.0,247.0,247.0
HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_l.pkl,train,228,1081,853,repo,False,first_cross,False,228.0,0.79786,0.80107,0.79786,0.0,228.0,228.0,0.84429,0.84769,0.84429,93.0,322.0,322.0,0.79786,0.80107,0.79786,0.0,228.0,228.0
HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_a.pkl,train,263,1086,823,repo,False,first_cross,False,263.0,0.79714,0.80214,0.79893,0.0,263.0,263.0,0.8461,0.8514,0.84799,95.0,359.0,359.0,0.79714,0.80214,0.79893,0.0,263.0,263.0
HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_d.pkl,test,257,1081,824,repo,False,first_cross,False,257.0,0.79714,0.80214,0.79964,0.0,257.0,257.0,0.84068,0.84595,0.84331,89.0,347.0,347.0,0.79714,0.80214,0.79964,0.0,257.0,257.0
HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_f.pkl,test,239,1075,836,repo,False,first_cross,False,239.0,0.7975,0.80214,0.79893,0.0,239.0,239.0,0.84519,0.85011,0.84671,95.0,334.0,337.0,0.7975,0.80214,0.79893,0.0,239.0,239.0
HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_p.pkl,train,263,1080,817,repo,False,first_cross,False,263.0,0.795,0.8,0.79786,0.0,263.0,262.0,0.83968,0.84496,0.8427,89.0,353.0,353.0,0.795,0.8,0.79786,0.0,262.0,263.0
HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_s.pkl,val,231,1088,857,repo,False,first_cross,False,231.0,0.79571,0.80179,0.79857,0.0,231.0,231.0,0.84394,0.85038,0.84697,92.0,324.0,324.0,0.79571,0.80179,0.79857,0.0,231.0,231.0
HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_o.pkl,train,266,1082,816,repo,False,first_cross,False,266.0,0.79964,0.80357,0.80571,13.0,266.0,302.0,0.84554,0.8497,0.85196,98.0,353.0,383.0,0.79964,0.80357,0.80571,13.0,302.0,266.0
HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_t.pkl,train,234,1083,849,repo,False,first_cross,False,234.0,0.79571,0.80179,0.79679,0.0,234.0,234.0,0.86023,0.8668,0.86139,90.0,325.0,325.0,0.79571,0.80179,0.79679,0.0,234.0,234.0
MATR,MATR_b2c1.pkl,train,147,169,22,repo,False,first_cross,False,147.0,0.79858,0.80041,0.79725,0.0,147.0,147.0,0.81938,0.82126,0.81802,9.0,157.0,157.0,0.79858,0.80041,0.79725,0.0,147.0,147.0
MATR,MATR_b4c33.pkl,val,505,530,25,repo,False,first_cross,False,505.0,0.7992,0.80181,0.79707,0.0,505.0,505.0,0.82615,0.82884,0.82394,9.0,515.0,515.0,0.7992,0.80181,0.79707,0.0,505.0,505.0
MATR,MATR_b2c0.pkl,train,299,325,26,repo,False,first_cross,False,299.0,0.79953,0.80145,0.79767,0.0,299.0,299.0,0.8219,0.82388,0.82,11.0,311.0,311.0,0.79953,0.80145,0.79767,0.0,299.0,299.0
MATR,MATR_b4c7.pkl,train,529,562,33,repo,False,first_cross,False,529.0,0.79971,0.80273,0.79701,0.0,529.0,529.0,0.83617,0.83932,0.83334,10.0,540.0,540.0,0.79971,0.80273,0.79701,0.0,529.0,529.0
MATR,MATR_b3c28.pkl,train,539,539,0,repo,False,regress,False,539.0,0.8001,0.80078,,0.0,,,0.83671,0.83743,,0.0,,,0.8001,0.80078,,0.0,,
MATR,MATR_b4c27.pkl,test,500,563,63,repo,False,first_cross,False,500.0,0.79845,0.80054,0.79599,0.0,500.0,500.0,0.84714,0.84936,0.84453,15.0,516.0,516.0,0.79845,0.80054,0.79599,0.0,500.0,500.0
MATR,MATR_b4c9.pkl,train,442,529,87,repo,False,first_cross,False,442.0,0.79885,0.80074,0.79693,0.0,442.0,442.0,0.83047,0.83244,0.82848,12.0,455.0,455.0,0.79885,0.80074,0.79693,0.0,442.0,442.0
MATR,MATR_b4c26.pkl,train,476,579,103,repo,False,first_cross,False,476.0,0.79759,0.80004,0.79467,0.0,476.0,476.0,0.84637,0.84897,0.84326,13.0,490.0,490.0,0.79759,0.80004,0.79467,0.0,476.0,476.0
MATR,MATR_b4c25.pkl,train,453,567,114,repo,False,first_cross,False,453.0,0.79987,0.80275,0.79723,0.0,453.0,453.0,0.85159,0.85466,0.84877,15.0,469.0,469.0,0.79987,0.80275,0.79723,0.0,453.0,453.0
MATR,MATR_b1c20.pkl,train,533,532,0,repo,False,regress,True,,,,,,,,,,,,,,,,,,,
MATR,MATR_b2c3.pkl,train,334,360,26,repo,False,first_cross,False,334.0,0.79953,0.80086,0.79752,0.0,334.0,334.0,0.82437,0.82574,0.8223,12.0,347.0,347.0,0.79953,0.80086,0.79752,0.0,334.0,334.0
MATR,MATR_b1c21.pkl,train,557,557,0,repo,False,regress,False,557.0,0.80015,0.80228,,0.0,,,0.81313,0.8153,,0.0,,,0.80015,0.80228,,0.0,,
MATR,MATR_b2c25.pkl,val,460,486,26,repo,False,first_cross,False,460.0,0.79942,0.80075,0.79767,0.0,460.0,460.0,0.82394,0.82531,0.82214,12.0,473.0,473.0,0.79942,0.80075,0.79767,0.0,460.0,460.0
MATR,MATR_b3c31.pkl,train,729,729,0,repo,False,regress,False,729.0,0.80029,0.8016,,0.0,,,0.82412,0.82548,,0.0,,,0.80029,0.8016,,0.0,,
MATR,MATR_b3c6.pkl,train,665,665,0,repo,False,regress,False,665.0,0.80048,0.80081,,0.0,,,0.82864,0.82898,,0.0,,,0.80048,0.80081,,0.0,,
MATR,MATR_b2c35.pkl,val,462,485,23,repo,False,first_cross,False,462.0,0.79946,0.80106,0.79777,0.0,462.0,462.0,0.82286,0.82451,0.82112,10.0,473.0,473.0,0.79946,0.80106,0.79777,0.0,462.0,462.0
MATR,MATR_b2c26.pkl,train,470,497,27,repo,False,first_cross,False,470.0,0.79949,0.80112,0.79784,0.0,470.0,470.0,0.81683,0.8185,0.81515,9.0,480.0,480.0,0.79949,0.80112,0.79784,0.0,470.0,470.0
MATR,MATR_b4c8.pkl,train,677,718,41,repo,False,first_cross,False,677.0,0.799,0.80014,0.7975,0.0,677.0,677.0,0.83758,0.83879,0.83601,20.0,698.0,698.0,0.799,0.80014,0.7975,0.0,677.0,677.0
MATR,MATR_b2c39.pkl,train,458,479,21,repo,False,first_cross,False,458.0,0.79803,0.80019,0.79607,0.0,458.0,458.0,0.81397,0.81617,0.81197,6.0,465.0,465.0,0.79803,0.80019,0.79607,0.0,458.0,458.0
MATR,MATR_b1c45.pkl,test,597,597,0,repo,False,regress,False,597.0,0.80095,0.8022,,0.0,,,0.8128,0.81408,,0.0,,,0.80095,0.8022,,0.0,,
MATR,MATR_b2c38.pkl,train,464,486,22,repo,False,first_cross,False,464.0,0.79814,0.80005,0.79607,0.0,464.0,464.0,0.82055,0.82252,0.81843,9.0,474.0,474.0,0.79814,0.80005,0.79607,0.0,464.0,464.0
MATR,MATR_b2c2.pkl,val,437,463,26,repo,False,first_cross,False,437.0,0.7994,0.80173,0.79779,0.0,437.0,437.0,0.8191,0.8215,0.81746,10.0,448.0,448.0,0.7994,0.80173,0.79779,0.0,437.0,437.0
MATR,MATR_b1c44.pkl,test,614,614,0,repo,False,regress,False,614.0,0.80044,0.80138,,0.0,,,0.81168,0.81263,,0.0,,,0.80044,0.80138,,0.0,,
MATR,MATR_b4c39.pkl,val,738,761,23,repo,False,first_cross,False,738.0,0.7996,0.80138,0.79802,0.0,738.0,738.0,0.83875,0.84062,0.8371,19.0,758.0,758.0,0.7996,0.80138,0.79802,0.0,738.0,738.0
MATR,MATR_b4c22.pkl,val,671,745,74,repo,False,first_cross,False,671.0,0.79869,0.80069,0.79685,0.0,671.0,671.0,0.83627,0.83836,0.83434,14.0,686.0,686.0,0.79869,0.80069,0.79685,0.0,671.0,671.0
MATR,MATR_b2c24.pkl,train,494,523,29,repo,False,first_cross,False,494.0,0.79986,0.8013,0.79894,0.0,494.0,494.0,0.82385,0.82533,0.8229,14.0,509.0,509.0,0.79986,0.8013,0.79894,0.0,494.0,494.0
MATR,MATR_b4c6.pkl,test,706,777,71,repo,False,first_cross,False,706.0,0.79946,0.8007,0.79801,0.0,706.0,706.0,0.84841,0.84973,0.84688,27.0,734.0,734.0,0.79946,0.8007,0.79801,0.0,706.0,706.0
MATR,MATR_b3c41.pkl,test,784,784,0,repo,False,regress,False,784.0,0.80057,0.8014,,0.0,,,0.83827,0.83915,,0.0,,,0.80057,0.8014,,0.0,,
MATR,MATR_b2c27.pkl,test,467,494,27,repo,False,first_cross,False,467.0,0.79943,0.80149,0.7983,0.0,467.0,467.0,0.82505,0.82717,0.82389,14.0,482.0,482.0,0.79943,0.80149,0.7983,0.0,467.0,467.0
MATR,MATR_b2c46.pkl,val,428,448,20,repo,False,first_cross,False,428.0,0.79809,0.80441,0.7981,0.0,428.0,428.0,0.81846,0.82495,0.81848,9.0,438.0,438.0,0.79809,0.80441,0.7981,0.0,428.0,428.0
MATR,MATR_b2c37.pkl,train,477,501,24,repo,False,first_cross,False,477.0,0.79984,0.80264,0.79867,0.0,477.0,477.0,0.81858,0.82145,0.81738,9.0,487.0,487.0,0.79984,0.80264,0.79867,0.0,477.0,477.0
MATR,MATR_b2c4.pkl,train,443,470,27,repo,False,first_cross,False,443.0,0.79867,0.80056,0.79724,0.0,443.0,443.0,0.81884,0.82078,0.81737,9.0,453.0,453.0,0.79867,0.80056,0.79724,0.0,443.0,443.0
MATR,MATR_b4c36.pkl,test,599,713,114,repo,False,first_cross,False,599.0,0.79971,0.80245,0.79721,0.0,599.0,599.0,0.83052,0.83337,0.82792,10.0,610.0,610.0,0.79971,0.80245,0.79721,0.0,599.0,599.0
MATR,MATR_b4c30.pkl,train,615,719,104,repo,False,first_cross,False,615.0,0.79933,0.80061,0.7979,0.0,615.0,615.0,0.83778,0.83912,0.83628,21.0,637.0,637.0,0.79933,0.80061,0.7979,0.0,615.0,615.0
MATR,MATR_b4c2.pkl,test,742,784,42,repo,False,first_cross,False,742.0,0.79948,0.8005,0.79792,0.0,742.0,742.0,0.83525,0.83632,0.83362,19.0,762.0,762.0,0.79948,0.8005,0.79792,0.0,742.0,742.0
MATR,MATR_b2c34.pkl,train,498,525,27,repo,False,first_cross,False,498.0,0.79993,0.80146,0.79834,0.0,498.0,498.0,0.82324,0.82482,0.8216,12.0,511.0,511.0,0.79993,0.80146,0.79834,0.0,498.0,498.0
MATR,MATR_b2c14.pkl,train,484,508,24,repo,False,first_cross,False,484.0,0.79861,0.80078,0.79675,0.0,484.0,484.0,0.81485,0.81707,0.81296,7.0,492.0,492.0,0.79861,0.80078,0.79675,0.0,484.0,484.0
MATR,MATR_b1c38.pkl,train,614,615,1,repo,False,regress,False,614.0,0.80244,0.80353,0.80101,1.0,,,0.82267,0.82379,0.8212,1.0,,,0.80244,0.80353,0.80101,1.0,,
MATR,MATR_b2c5.pkl,train,479,506,27,repo,False,first_cross,False,479.0,0.79912,0.80075,0.79736,0.0,479.0,479.0,0.82305,0.82473,0.82124,12.0,492.0,492.0,0.79912,0.80075,0.79736,0.0,479.0,479.0
MATR,MATR_b3c40.pkl,train,794,794,0,repo,False,regress,False,794.0,0.80064,0.80164,,0.0,,,0.83139,0.83242,,0.0,,,0.80064,0.80164,,0.0,,
MATR,MATR_b2c30.pkl,train,480,506,26,repo,False,first_cross,False,480.0,0.79969,0.80122,0.79788,0.0,480.0,480.0,0.8242,0.82579,0.82234,12.0,493.0,493.0,0.79969,0.80122,0.79788,0.0,480.0,480.0
MATR,MATR_b2c31.pkl,train,491,518,27,repo,False,first_cross,False,491.0,0.79989,0.80159,0.7984,0.0,491.0,491.0,0.81981,0.82155,0.81828,10.0,502.0,502.0,0.79989,0.80159,0.7984,0.0,491.0,491.0
MATR,MATR_b3c5.pkl,test,826,826,0,repo,False,regress,False,826.0,0.80061,0.80144,,0.0,,,0.83757,0.83845,,0.0,,,0.80061,0.80144,,0.0,,
MATR,MATR_b3c24.pkl,train,823,823,0,repo,False,regress,False,823.0,0.80019,0.80132,,0.0,,,0.84128,0.84247,,0.0,,,0.80019,0.80132,,0.0,,
MATR,MATR_b3c20.pkl,test,811,811,0,repo,False,regress,False,811.0,0.80054,0.80134,,0.0,,,0.82681,0.82763,,0.0,,,0.80054,0.80134,,0.0,,
MATR,MATR_b2c12.pkl,train,456,489,33,repo,False,first_cross,False,456.0,0.79976,0.8009,0.7981,0.0,456.0,456.0,0.82121,0.82238,0.8195,14.0,471.0,471.0,0.79976,0.8009,0.7981,0.0,456.0,456.0
MATR,MATR_b2c11.pkl,test,476,504,28,repo,False,first_cross,False,476.0,0.79912,0.80102,0.79755,0.0,476.0,476.0,0.82022,0.82216,0.8186,11.0,488.0,488.0,0.79912,0.80102,0.79755,0.0,476.0,476.0
MATR,MATR_b2c45.pkl,val,486,513,27,repo,False,first_cross,False,486.0,0.79473,0.80043,0.79697,0.0,486.0,486.0,0.81665,0.82251,0.81895,11.0,498.0,498.0,0.79473,0.80043,0.79697,0.0,486.0,486.0
MATR,MATR_b1c39.pkl,test,622,623,1,repo,False,regress,False,622.0,0.8009,0.80243,0.8001,1.0,,,0.81439,0.81595,0.81358,1.0,,,0.8009,0.80243,0.8001,1.0,,
MATR,MATR_b2c44.pkl,train,455,477,22,repo,False,first_cross,False,455.0,0.79972,0.8016,0.79743,0.0,455.0,455.0,0.82146,0.82339,0.81911,9.0,465.0,465.0,0.79972,0.8016,0.79743,0.0,455.0,455.0
MATR,MATR_b2c29.pkl,train,497,521,24,repo,False,first_cross,False,497.0,0.79925,0.80007,0.7975,0.0,497.0,497.0,0.81974,0.82058,0.81795,9.0,507.0,507.0,0.79925,0.80007,0.7975,0.0,497.0,497.0
MATR,MATR_b2c41.pkl,train,428,451,23,repo,False,first_cross,False,428.0,0.79968,0.80155,0.79795,0.0,428.0,428.0,0.82348,0.82541,0.8217,10.0,439.0,439.0,0.79968,0.80155,0.79795,0.0,428.0,428.0
MATR,MATR_b2c43.pkl,test,461,486,25,repo,False,first_cross,False,461.0,0.79854,0.80025,0.79658,0.0,461.0,461.0,0.8182,0.81995,0.8162,9.0,471.0,471.0,0.79854,0.80025,0.79658,0.0,461.0,461.0
MATR,MATR_b3c8.pkl,train,826,826,0,repo,False,regress,False,826.0,0.80086,0.80204,,0.0,,,0.82738,0.8286,,0.0,,,0.80086,0.80204,,0.0,,
MATR,MATR_b2c42.pkl,test,465,491,26,repo,False,first_cross,False,465.0,0.7984,0.80022,0.79652,0.0,465.0,465.0,0.81467,0.81653,0.81275,8.0,474.0,474.0,0.7984,0.80022,0.79652,0.0,465.0,465.0
MATR,MATR_b4c20.pkl,train,747,804,57,repo,False,first_cross,False,747.0,0.79981,0.80094,0.79892,0.0,747.0,747.0,0.84198,0.84317,0.84104,29.0,777.0,777.0,0.79981,0.80094,0.79892,0.0,747.0,747.0
MATR,MATR_b2c21.pkl,train,488,519,31,repo,False,first_cross,False,488.0,0.79949,0.80105,0.79786,0.0,488.0,488.0,0.81666,0.81824,0.81499,10.0,499.0,499.0,0.79949,0.80105,0.79786,0.0,488.0,488.0
MATR,MATR_b3c13.pkl,train,814,814,0,repo,False,regress,False,814.0,0.80022,0.80122,,0.0,,,0.82609,0.82712,,0.0,,,0.80022,0.80122,,0.0,,
MATR,MATR_b1c6.pkl,train,633,634,1,repo,False,regress,False,633.0,0.80136,0.8029,0.80005,1.0,,,0.81936,0.82093,0.81802,1.0,,,0.80136,0.8029,0.80005,1.0,,
MATR,MATR_b2c20.pkl,test,501,530,29,repo,False,first_cross,False,501.0,0.79869,0.80058,0.7971,0.0,501.0,501.0,0.81115,0.81307,0.80953,6.0,508.0,508.0,0.79869,0.80058,0.7971,0.0,501.0,501.0
MATR,MATR_b3c11.pkl,val,815,815,0,repo,False,regress,False,815.0,0.80103,0.80199,,0.0,,,0.82498,0.82596,,0.0,,,0.80103,0.80199,,0.0,,
MATR,MATR_b2c19.pkl,train,460,488,28,repo,False,first_cross,False,460.0,0.79963,0.80192,0.79911,0.0,460.0,460.0,0.83927,0.84168,0.83873,21.0,482.0,482.0,0.79963,0.80192,0.79911,0.0,460.0,460.0
MATR,MATR_b2c33.pkl,train,519,545,26,repo,False,first_cross,False,519.0,0.79969,0.80092,0.79807,0.0,519.0,519.0,0.81522,0.81646,0.81356,8.0,528.0,528.0,0.79969,0.80092,0.79807,0.0,519.0,519.0
MATR,MATR_b2c32.pkl,train,518,543,25,repo,False,first_cross,False,518.0,0.79863,0.80033,0.79707,0.0,518.0,518.0,0.81776,0.8195,0.81617,9.0,528.0,528.0,0.79863,0.80033,0.79707,0.0,518.0,518.0
MATR,MATR_b2c17.pkl,train,493,524,31,repo,False,first_cross,False,493.0,0.79898,0.80046,0.79689,0.0,493.0,493.0,0.82473,0.82627,0.82258,15.0,509.0,509.0,0.79898,0.80046,0.79689,0.0,493.0,493.0
MATR,MATR_b3c27.pkl,train,847,848,1,repo,False,regress,False,847.0,0.80085,0.80174,0.80002,1.0,,,0.83074,0.83167,0.82989,1.0,,,0.80085,0.80174,0.80002,1.0,,
MATR,MATR_b2c28.pkl,train,508,540,32,repo,False,first_cross,False,508.0,0.79956,0.80201,0.80053,1.0,508.0,510.0,0.82079,0.8233,0.82178,14.0,523.0,523.0,0.79956,0.80201,0.80053,1.0,510.0,508.0
MATR,MATR_b1c43.pkl,val,649,649,0,repo,False,regress,False,649.0,0.8004,0.80133,,0.0,,,0.8242,0.82515,,0.0,,,0.8004,0.80133,,0.0,,
MATR,MATR_b2c22.pkl,val,512,539,27,repo,False,first_cross,False,512.0,0.79907,0.80056,0.79745,0.0,512.0,512.0,0.81408,0.8156,0.81242,8.0,521.0,521.0,0.79907,0.80056,0.79745,0.0,512.0,512.0
MATR,MATR_b1c37.pkl,test,648,646,0,repo,False,regress,True,,,,,,,,,,,,,,,,,,,
MATR,MATR_b3c21.pkl,train,770,770,0,repo,False,regress,False,770.0,0.80018,0.80109,,0.0,,,0.82427,0.8252,,0.0,,,0.80018,0.80109,,0.0,,
MATR,MATR_b3c29.pkl,test,855,856,1,repo,False,regress,False,855.0,0.80102,0.80191,0.80007,1.0,,,0.82628,0.8272,0.8253,1.0,,,0.80102,0.80191,0.80007,1.0,,
MATR,MATR_b3c14.pkl,train,856,856,0,repo,False,regress,False,856.0,0.8006,0.80163,,0.0,,,0.82097,0.82202,,0.0,,,0.8006,0.80163,,0.0,,
MATR,MATR_b2c40.pkl,val,498,529,31,repo,False,first_cross,False,498.0,0.79677,0.80223,0.79941,0.0,498.0,498.0,0.81413,0.8197,0.81682,11.0,510.0,510.0,0.79677,0.80223,0.79941,0.0,498.0,498.0
MATR,MATR_b4c32.pkl,val,754,839,85,repo,False,first_cross,False,754.0,0.79862,0.8001,0.79685,0.0,754.0,754.0,0.8328,0.83435,0.83096,17.0,772.0,772.0,0.79862,0.8001,0.79685,0.0,754.0,754.0
MATR,MATR_b2c18.pkl,train,486,522,36,repo,False,first_cross,False,486.0,0.79923,0.80027,0.79702,0.0,486.0,486.0,0.8264,0.82747,0.82411,19.0,506.0,506.0,0.79923,0.80027,0.79702,0.0,486.0,486.0
MATR,MATR_b4c14.pkl,train,607,767,160,repo,False,first_cross,False,607.0,0.79985,0.80136,0.79853,0.0,607.0,607.0,0.82934,0.83091,0.82797,16.0,624.0,624.0,0.79985,0.80136,0.79853,0.0,607.0,607.0
MATR,MATR_b2c36.pkl,train,534,559,25,repo,False,first_cross,False,534.0,0.79817,0.80021,0.79661,0.0,534.0,534.0,0.81315,0.81523,0.81156,7.0,542.0,542.0,0.79817,0.80021,0.79661,0.0,534.0,534.0
MATR,MATR_b3c15.pkl,train,874,874,0,repo,False,regress,False,874.0,0.80053,0.80144,,0.0,,,0.82419,0.82513,,0.0,,,0.80053,0.80144,,0.0,,
MATR,MATR_b3c36.pkl,train,921,921,0,repo,False,regress,False,921.0,0.80055,0.80193,,0.0,,,0.8327,0.83413,,0.0,,,0.80055,0.80193,,0.0,,
MATR,MATR_b2c13.pkl,val,482,519,37,repo,False,first_cross,False,482.0,0.79973,0.80086,0.79797,0.0,482.0,482.0,0.81432,0.81548,0.81253,10.0,493.0,493.0,0.79973,0.80086,0.79797,0.0,482.0,482.0
MATR,MATR_b1c42.pkl,train,700,700,0,repo,False,regress,False,700.0,0.80032,0.80119,,0.0,,,0.81524,0.81612,,0.0,,,0.80032,0.80119,,0.0,,
MATR,MATR_b2c23.pkl,test,526,561,35,repo,False,first_cross,False,526.0,0.79938,0.80056,0.79855,0.0,526.0,526.0,0.81833,0.81955,0.81748,13.0,540.0,540.0,0.79938,0.80056,0.79855,0.0,526.0,526.0
MATR,MATR_b4c28.pkl,val,828,882,54,repo,False,first_cross,False,828.0,0.79893,0.80035,0.79729,0.0,828.0,828.0,0.82544,0.82691,0.82374,13.0,842.0,842.0,0.79893,0.80035,0.79729,0.0,828.0,828.0
MATR,MATR_b3c30.pkl,test,933,933,0,repo,False,regress,False,933.0,0.80023,0.80125,,0.0,,,0.82363,0.82468,,0.0,,,0.80023,0.80125,,0.0,,
MATR,MATR_b4c17.pkl,test,827,930,103,repo,False,first_cross,False,827.0,0.79998,0.801,0.79928,0.0,827.0,827.0,0.84617,0.84725,0.84543,33.0,861.0,861.0,0.79998,0.801,0.79928,0.0,827.0,827.0
MATR,MATR_b4c13.pkl,val,771,869,98,repo,False,first_cross,False,771.0,0.79971,0.80118,0.7983,0.0,771.0,771.0,0.82511,0.82662,0.82365,13.0,785.0,785.0,0.79971,0.80118,0.7983,0.0,771.0,771.0
MATR,MATR_b4c12.pkl,train,818,898,80,repo,False,first_cross,False,818.0,0.79973,0.80084,0.79811,0.0,818.0,818.0,0.83126,0.83241,0.82957,17.0,836.0,836.0,0.79973,0.80084,0.79811,0.0,818.0,818.0
