file,n_cycles,last_soh,branch,eol_recomputed,label_released,first_cross,last_desc_cross,in_split,soh_at_label,soh_before,n_cycles_after,max_soh_after,n_above_0.0,n_above_0.01,n_above_0.02,n_above_0.05,label_gt_ncycles,match
NA-ion_270040-4-6-43.pkl,194,0.7762,first_cross,142.0,142.0,142.0,142.0,"NAion_2021:val,NAion_42:train,NAion_2024:train",0.8,0.8006,52.0,0.7996,0.0,0.0,0.0,0.0,,True
NA-ion_270040-4-7-42.pkl,237,0.876,abandon,,,,,-,,,,,,,,,,
NA-ion_270040-4-8-41.pkl,100,0.704,first_cross,1.0,,1.0,,-,,,,,,,,,,
NA-ion_270040-5-1-39.pkl,225,0.7037,first_cross,128.0,128.0,128.0,128.0,"NAion_2021:train,NAion_42:train,NAion_2024:test",0.7996,0.8002,97.0,0.7989,0.0,0.0,0.0,0.0,,True
NA-ion_270040-5-2-38.pkl,226,0.7102,first_cross,120.0,120.0,120.0,120.0,"NAion_2021:train,NAion_42:train,NAion_2024:val",0.7996,0.8003,106.0,0.7988,0.0,0.0,0.0,0.0,,True
NA-ion_270040-5-3-37.pkl,211,0.8182,regress,255.0,255.0,,,"NAion_2021:train,NAion_42:val,NAion_2024:train",,,,,,,,,True,True
NA-ion_270040-5-4-36.pkl,108,0.7942,first_cross,96.0,,96.0,96.0,-,,,,,,,,,,
NA-ion_270040-5-5-35.pkl,244,0.7574,first_cross,180.0,180.0,180.0,180.0,"NAion_2021:val,NAion_42:val,NAion_2024:train",0.7996,0.8003,64.0,0.7992,0.0,0.0,0.0,0.0,,True
NA-ion_270040-5-6-34.pkl,223,0.7262,first_cross,131.0,131.0,131.0,131.0,"NAion_2021:train,NAion_42:train,NAion_2024:train",0.7997,0.8006,92.0,0.7992,0.0,0.0,0.0,0.0,,True
NA-ion_270040-5-7-33.pkl,212,0.7817,first_cross,177.0,177.0,177.0,177.0,"NAion_2021:train,NAion_42:train,NAion_2024:train",0.8,0.8008,35.0,0.7996,0.0,0.0,0.0,0.0,,True
NA-ion_270040-5-8-32.pkl,200,0.7358,first_cross,102.0,102.0,102.0,102.0,"NAion_2021:test,NAion_42:val,NAion_2024:train",0.7995,0.8002,98.0,0.7988,0.0,0.0,0.0,0.0,,True
NA-ion_270040-6-1-31.pkl,244,0.838,abandon,,,,,-,,,,,,,,,,
NA-ion_270040-6-2-30.pkl,171,0.7928,first_cross,154.0,154.0,154.0,154.0,"NAion_2021:train,NAion_42:train,NAion_2024:val",0.7996,0.8001,17.0,0.7992,0.0,0.0,0.0,0.0,,True
NA-ion_270040-6-3-29.pkl,239,0.8702,abandon,,,,,-,,,,,,,,,,
NA-ion_270040-6-4-28.pkl,238,0.8682,abandon,,,,,-,,,,,,,,,,
NA-ion_270040-6-5-27.pkl,101,0.6999,first_cross,1.0,,1.0,,-,,,,,,,,,,
NA-ion_270040-6-6-26.pkl,241,0.7965,first_cross,232.0,232.0,232.0,232.0,"NAion_2021:train,NAion_42:val,NAion_2024:train",0.7995,0.8002,9.0,0.7994,0.0,0.0,0.0,0.0,,True
NA-ion_270040-6-7-25.pkl,239,0.8647,abandon,,,,,-,,,,,,,,,,
NA-ion_270040-6-8-24.pkl,235,0.8174,regress,269.0,269.0,,,"NAion_2021:train,NAion_42:train,NAion_2024:train",,,,,,,,,True,True
NA-ion_270040-7-1-23.pkl,248,0.7463,first_cross,182.0,182.0,182.0,182.0,"NAion_2021:train,NAion_42:train,NAion_2024:val",0.7993,0.8001,66.0,0.7983,0.0,0.0,0.0,0.0,,True
NA-ion_270040-7-2-22.pkl,179,0.7285,first_cross,81.0,,81.0,81.0,-,,,,,,,,,,
NA-ion_270040-7-3-21.pkl,242,0.8641,abandon,,,,,-,,,,,,,,,,
NA-ion_270040-8-1-20.pkl,239,0.8649,abandon,,,,,-,,,,,,,,,,
NA-ion_270040-8-2-19.pkl,239,0.8749,abandon,,,,,-,,,,,,,,,,
NA-ion_270040-8-3-18.pkl,97,0.7168,first_cross,1.0,,1.0,,-,,,,,,,,,,
NA-ion_270040-8-4-17.pkl,237,0.8762,abandon,,,,,-,,,,,,,,,,
NA-ion_270040-8-5-16.pkl,128,0.8073,regress,148.0,148.0,,,"NAion_2021:train,NAion_42:test,NAion_2024:test",,,,,,,,,True,True
NA-ion_270040-8-6-15.pkl,236,0.8807,abandon,,,,,-,,,,,,,,,,
NA-ion_270040-8-7-14.pkl,234,0.8997,abandon,,,,,-,,,,,,,,,,
NA-ion_270040-8-8-13.pkl,239,0.8647,abandon,,,,,-,,,,,,,,,,
NA-ion_2850-30_20250117105706_DefaultGroup_45_2.pkl,170,0.8386,abandon,,,,,-,,,,,,,,,,
NA-ion_4000-30_20250115110206_DefaultGroup_45_1.pkl,119,0.5166,first_cross,119.0,119.0,119.0,119.0,-,0.5166,0.8886,0.0,,0.0,0.0,0.0,0.0,,True
NA-ion_4500-30_20250114232539_DefaultGroup_45_8.pkl,164,0.6263,first_cross,164.0,164.0,164.0,164.0,-,0.6263,0.8828,0.0,,0.0,0.0,0.0,0.0,,True
NA-ion_5000-25_20250115110326_DefaultGroup_38_1.pkl,135,0.5709,first_cross,135.0,135.0,135.0,135.0,-,0.5709,0.976,0.0,,0.0,0.0,0.0,0.0,,True
NA-ion_5000-25_20250115110326_DefaultGroup_38_2.pkl,137,0.8459,abandon,,,,,-,,,,,,,,,,
