subset,cell,chemistry,flags,severity,knee_rank_spread,curv_rank_spread,knee_lifefrac_gap_obs_vs_proc,n_total,n_measured,n_extrapolated,extrap_frac,pchip_changed,eol_cycle,soh_first,soh_last,knee_curvature_max_lifefrac,knee_bilinear_lifefrac,knee_tangent_cross_lifefrac
SNL,SNL_18650_LFP_25C_0-100_0.5-3C_a.pkl,LFP,knee_rank_spread>=0.7,0.9274,0.9274,0.4533,0.004,3197,3197,0,0.0,1,3197.0,0.9418181818181818,0.7999999999999999,0.05067250547388177,0.6950702841703041,0.9720219713432092
MATR,MATR_b4c23.pkl,LFP,knee_rank_spread>=0.7;curv_rank_spread>=0.7,0.9264,0.9264,0.7083,0.0,1038,1038,0,0.0,0,1038.0,0.9530948181818182,0.7997156818181818,0.05009633911368015,0.8438691530872088,0.7550474555982695
XJTU,XJTU_3C_battery-15.pkl,NMC,curv_rank_spread>=0.7,0.9233,0.0313,0.9233,0.0,167,167,0,0.0,0,167.0,0.8935,0.799,0.2215568862275449,0.477019829687359,0.4801019958360431
MATR,MATR_b4c12.pkl,LFP,knee_rank_spread>=0.7;curv_rank_spread>=0.7,0.9195,0.9195,0.75,0.0,818,818,0,0.0,0,818.0,0.9620765454545452,0.7997349727272727,0.05012224938875306,0.8398944600754384,0.7448797038612309
Tongji,Tongji3_CY25-05_2--3.pkl,블렌드,knee_rank_spread>=0.7;curv_rank_spread>=0.7,0.9191,0.9191,0.7283,0.004,475,475,0,0.0,1,481.0,0.9880206893211811,0.79879599974056,0.8814968814968815,0.1357692830054639,0.22744339334713173
MATR,MATR_b3c44.pkl,LFP,knee_rank_spread>=0.7;curv_rank_spread>=0.7,0.9171,0.9171,0.745,0.0,939,938,1,0.001065,0,939.0,0.9724727272727272,0.8,0.05005324813631523,0.8358533883474883,0.7466606218534309
Tongji,Tongji2_CY25-05_1--17.pkl,NMC,knee_rank_spread>=0.7,0.9168,0.9168,0.3333,0.0,329,329,0,0.0,0,330.0,0.9210094848226298,0.7994851698018202,0.906060606060606,0.15739911679610175,0.1771870132189906
XJTU,XJTU_3C_battery-1.pkl,NMC,curv_rank_spread>=0.7,0.9158,0.2526,0.9158,0.0,298,298,0,0.0,0,298.0,0.933,0.7995,0.2181208053691275,0.7280513304778928,0.5666229770837002
XJTU,XJTU_3C_battery-2.pkl,NMC,curv_rank_spread>=0.7,0.9158,0.2845,0.9158,0.0,291,291,0,0.0,0,291.0,0.9415,0.7975,0.35051546391752575,0.7601236422663145,0.5696304511819489
XJTU,XJTU_3C_battery-6.pkl,NMC,curv_rank_spread>=0.7,0.91,0.2433,0.91,0.0,321,321,0,0.0,0,321.0,0.9305,0.797,0.17757009345794392,0.7039402620579533,0.5461831568829514
SNL,SNL_18650_NMC_25C_0-100_0.5-3C_b.pkl,NMC,knee_rank_spread>=0.7;curv_rank_spread>=0.7,0.9075,0.9045,0.9075,0.008,428,428,0,0.0,1,428.0,0.9303333333333333,0.7999999999999999,0.9439252336448598,0.23044545155684967,0.20050017743146492
ISU_ILCC,ISU-ILCC_G12C4.pkl,NMC,curv_rank_spread>=0.7,0.9042,0.3704,0.9042,0.0,1838,1838,0,0.0,0,1838.0,0.9846444907280288,0.7998292269674057,0.1953210010881393,0.12459714240407697,0.2061946158516968
SNL,SNL_18650_NMC_25C_0-100_0.5-3C_c.pkl,NMC,curv_rank_spread>=0.7,0.9017,0.4081,0.9017,0.0,602,602,0,0.0,1,602.0,0.9303333333333333,0.7999999999999999,0.33056478405315615,0.20985742666822485,0.263045362598196
RWTH,RWTH_049.pkl,NMC,knee_rank_spread>=0.7;curv_rank_spread>=0.7,0.8996,0.8996,0.7758,0.0201,675,675,0,0.0,1,680.0,0.9527288046624762,0.801099199336588,0.9102941176470588,0.18562148980195095,0.3202123576191054
Tongji,Tongji1_CY45-05_1--20.pkl,NCA,curv_rank_spread>=0.7,0.8992,0.2231,0.8992,0.0,409,409,0,0.0,0,410.0,0.9532630302396836,0.7997126936165356,0.3073170731707317,0.3444196592719696,0.3599642280636499
XJTU,XJTU_2C_battery-1.pkl,NMC,curv_rank_spread>=0.7,0.8975,0.6367,0.8975,0.0,389,389,0,0.0,0,389.0,0.9315,0.796,0.9485861182519281,0.49928046401674187,0.47116414428384074
XJTU,XJTU_3C_battery-5.pkl,NMC,curv_rank_spread>=0.7,0.8975,0.1971,0.8975,0.0,296,296,0,0.0,0,296.0,0.935,0.799,0.26013513513513514,0.7120314409887275,0.557752563479847
ISU_ILCC,ISU-ILCC_G28C3.pkl,NMC,knee_rank_spread>=0.7,0.8954,0.8954,0.6908,,597,597,0,0.0,0,597.0,0.9871328680383517,0.799983541177255,0.8693467336683417,,0.10826371555286299
MATR,MATR_b3c34.pkl,LFP,knee_rank_spread>=0.7,0.8937,0.8937,0.4683,0.0,1157,1156,1,0.000864,0,1157.0,0.965031818181818,0.8,0.05012964563526361,0.7956541566953176,0.7521555016031215
ISU_ILCC,ISU-ILCC_G51C1.pkl,NMC,curv_rank_spread>=0.7,0.8933,0.1326,0.8933,0.0,549,549,0,0.0,0,549.0,1.0213769462399913,0.7987652428308296,0.2040072859744991,0.3383932412517963,0.363300873095762
Tongji,Tongji2_CY35-05_1--2.pkl,NMC,knee_rank_spread>=0.7;curv_rank_spread>=0.7,0.893,0.893,0.825,0.0,580,580,0,0.0,0,592.0,0.9322662149889551,0.7982945752413503,0.9459459459459459,0.21121655575173165,0.28281074743919177
RWTH,RWTH_021.pkl,NMC,knee_rank_spread>=0.7;curv_rank_spread>=0.7,0.8917,0.7268,0.8917,0.0241,617,617,0,0.0,1,620.0,0.9646630522934858,0.7985166139158585,0.7580645161290323,0.24192818933376561,0.23170762626788824
MATR,MATR_b3c36.pkl,LFP,knee_rank_spread>=0.7,0.8916,0.8916,0.6375,0.0,922,921,1,0.001085,0,922.0,0.9613897272727272,0.8,0.0509761388286334,0.8639667971091902,0.7577780871074221
MATR,MATR_b4c5.pkl,LFP,knee_rank_spread>=0.7,0.8914,0.8914,0.6408,0.0,913,913,0,0.0,0,913.0,0.9429119090909089,0.7991379454545454,0.050383351588170866,0.8438897664665056,0.7571729048899216
Stanford_2,Stanford_Nova_Regular_304.pkl,NMC,knee_rank_spread>=0.7,0.8899,0.8899,0.2825,0.0,1019,1019,0,0.0,0,1019.0,1.0119947915275893,0.7993562147021294,0.8969578017664377,0.35791716186427724,0.16498739358725334
SNL,SNL_18650_NCA_25C_0-100_0.5-2C_b.pkl,NCA,curv_rank_spread>=0.7,0.8883,0.5378,0.8883,0.004,320,320,0,0.0,1,320.0,0.9165625,0.7996875,0.78125,0.4274230527638191,0.40021352333762883
RWTH,RWTH_046.pkl,NMC,curv_rank_spread>=0.7,0.8867,0.6158,0.8867,0.0201,579,579,0,0.0,1,582.0,0.9638938552578445,0.8019049682592432,0.5429553264604811,0.19786302647256906,0.28353145985540024
UL_PUR,UL-PUR_N10-EX9_18650_NCA_23C_0-100_0.5-0.5C_i.pkl,NCA,curv_rank_spread>=0.7;observed_vs_processed_kneefrac>=0.05,0.8867,0.1139,0.8867,0.0528,244,194,50,0.204918,0,244.0,0.9702941176470589,0.8117136222910217,0.10655737704918032,0.2518226377790592,0.29088716963474637
Stanford_2,Stanford_Nova_Regular_317.pkl,NMC,knee_rank_spread>=0.7,0.8864,0.8864,0.1942,0.0,802,802,0,0.0,0,802.0,1.0023037592569988,0.7995811601479849,0.92643391521197,0.4825555458088448,0.20754186052556328
RWTH,RWTH_009.pkl,NMC,knee_rank_spread>=0.7;curv_rank_spread>=0.7,0.884,0.884,0.8792,0.008,632,632,0,0.0,1,635.0,0.9562875118828508,0.7990045801878188,0.9417322834645669,0.342243500969414,0.22374086693885947
MATR,MATR_b3c33.pkl,LFP,knee_rank_spread>=0.7,0.8836,0.8836,0.5358,0.0,1283,1282,1,0.000779,0,1283.0,0.9638836363636364,0.8,0.05066250974279034,0.8478573694661931,0.7674392212494285
ISU_ILCC,ISU-ILCC_G48C2.pkl,NMC,knee_rank_spread>=0.7;curv_rank_spread>=0.7,0.8826,0.8826,0.7517,,620,620,0,0.0,0,620.0,1.0206915025330823,0.7988748097582439,0.8387096774193549,,0.08243535500081957
Stanford,Stanford_Nova_Regular_Ref_100.pkl,NMC,knee_rank_spread>=0.7,0.8812,0.8812,0.1492,0.0,668,668,0,0.0,0,668.0,1.0160093506177268,0.7991547385851543,0.9176646706586826,0.2057134474769055,0.48364909253492666
Tongji,Tongji1_CY45-05_1--8.pkl,NCA,curv_rank_spread>=0.7,0.8783,0.6352,0.8783,0.0,215,215,0,0.0,0,224.0,0.953499992292248,0.7968067691785249,0.9151785714285714,0.446693287867911,0.416288921717349
MATR,MATR_b4c32.pkl,LFP,knee_rank_spread>=0.7;curv_rank_spread>=0.7,0.8782,0.8782,0.7342,0.0,754,754,0,0.0,0,754.0,0.9589476363636363,0.7986154909090909,0.050397877984084884,0.8358963251269612,0.7458378851354927
ISU_ILCC,ISU-ILCC_G62C2.pkl,NMC,knee_rank_spread>=0.7,0.8768,0.8768,0.305,,876,876,0,0.0,0,876.0,1.0130703611294307,0.799481926618057,0.05136986301369863,,0.844187034528129
ISU_ILCC,ISU-ILCC_G43C3.pkl,NMC,knee_rank_spread>=0.7,0.8764,0.8764,0.5508,0.0,994,994,0,0.0,0,994.0,1.01327045857804,0.0,0.9486921529175051,0.22540317280567831,0.3190509328641449
Tongji,Tongji1_CY45-05_1--18.pkl,NCA,curv_rank_spread>=0.7,0.8758,0.5303,0.8758,0.0,322,322,0,0.0,0,323.0,0.9586758831950642,0.7996991033820837,0.6222910216718266,0.30932837562425136,0.3209557033367095
Tongji,Tongji1_CY45-05_1--22.pkl,NCA,knee_rank_spread>=0.7;curv_rank_spread>=0.7,0.8758,0.7621,0.8758,0.0,224,224,0,0.0,0,226.0,0.9590308288626149,0.7993205980402484,0.8938053097345132,0.26734557744474585,0.31311286045585696
XJTU,XJTU_3C_battery-3.pkl,NMC,curv_rank_spread>=0.7,0.8758,0.1694,0.8758,0.0,285,285,0,0.0,0,285.0,0.939,0.799,0.3684210526315789,0.7000511328572688,0.5681253114342494
RWTH,RWTH_036.pkl,NMC,knee_rank_spread>=0.7;curv_rank_spread>=0.7,0.875,0.813,0.875,0.0161,715,715,0,0.0,1,720.0,0.9596328076624803,0.8023848806813665,0.8652777777777778,0.21767099385817978,0.4114343771436856
RWTH,RWTH_048.pkl,NMC,curv_rank_spread>=0.7,0.875,0.3796,0.875,0.0201,626,626,0,0.0,1,629.0,0.9590335806756538,0.7986337784732797,0.27503974562798095,0.1937461552596049,0.2746598287089645
SNL,SNL_18650_NMC_25C_0-100_0.5-3C_d.pkl,NMC,knee_rank_spread>=0.7;curv_rank_spread>=0.7,0.8742,0.7314,0.8742,0.004,600,600,0,0.0,1,600.0,0.9306666666666666,0.7999999999999999,0.7516666666666667,0.20986180904522614,0.2658264347536453
Tongji,Tongji1_CY25-025_1--1.pkl,NCA,curv_rank_spread>=0.7,0.8733,0.4838,0.8733,0.0,300,300,0,0.0,0,301.0,0.9278963740124316,0.7995523298463463,0.8239202657807309,0.5452528422845122,
SNL,SNL_18650_NMC_35C_0-100_0.5-1C_c.pkl,NMC,curv_rank_spread>=0.7,0.87,0.632,0.87,0.0,637,637,0,0.0,1,637.0,0.9353333333333333,0.7999999999999999,0.5682888540031397,0.2057714001719745,0.2661769629569737
MATR,MATR_b4c41.pkl,LFP,knee_rank_spread>=0.7;curv_rank_spread>=0.7,0.8697,0.8697,0.7133,0.0,836,836,0,0.0,0,836.0,0.9603334545454544,0.7988744999999999,0.050239234449760764,0.8278443653675074,0.7446840139100578
RWTH,RWTH_047.pkl,NMC,curv_rank_spread>=0.7,0.8692,0.5744,0.8692,0.0201,632,632,0,0.0,1,635.0,0.9475205445463986,0.8005620122657625,0.4881889763779528,0.18972025481739407,0.2188688060245229
Tongji,Tongji1_CY25-1_1--4.pkl,NCA,curv_rank_spread>=0.7,0.8692,0.1675,0.8692,0.0,27,27,0,0.0,0,29.0,0.8760522109035146,0.747979668110468,0.20689655172413793,0.6710968636284872,0.6063797221757131
MATR,MATR_b3c3.pkl,LFP,knee_rank_spread>=0.7,0.8685,0.8685,0.555,0.0,1114,1113,1,0.000898,0,1114.0,0.9662629090909091,0.8,0.05026929982046679,0.8117269471234088,0.7500806458610725
Tongji,Tongji1_CY25-05_1--10.pkl,NCA,knee_rank_spread>=0.7,0.8676,0.8676,0.3125,0.0,174,174,0,0.0,0,175.0,0.9344872933211265,0.7968421953698152,0.05714285714285714,0.8733237616654703,
UL_PUR,UL-PUR_N10-NA7_18650_NCA_23C_0-100_0.5-0.5C_g.pkl,NCA,knee_rank_spread>=0.7,0.8663,0.8663,0.6908,0.0,164,164,0,0.0,0,164.0,0.8858823529411765,0.8002941176470588,0.8292682926829268,0.24133778649344284,0.10337802217998418
Stanford_2,Stanford_Nova_Regular_100.pkl,NMC,curv_rank_spread>=0.7,0.8658,0.362,0.8658,0.0,470,470,0,0.0,0,470.0,1.0407822827498119,0.7987873007853826,0.41702127659574467,0.795912541430557,0.7559419870145306
Tongji,Tongji2_CY35-05_1--4.pkl,NMC,curv_rank_spread>=0.7,0.8658,0.4683,0.8658,0.0,469,469,0,0.0,0,479.0,0.9252029053888812,0.7983655660750707,0.42379958246346555,0.21585065200742753,0.2807292770027945
UL_PUR,UL-PUR_N10-OV8_18650_NCA_23C_0-100_0.5-0.5C_h.pkl,NCA,curv_rank_spread>=0.7,0.8658,0.2262,0.8658,0.0325,222,191,31,0.13964,0,222.0,0.9691176470588235,0.8,0.2072072072072072,0.2441237720132193,0.2867948470736153
MATR,MATR_b4c21.pkl,LFP,knee_rank_spread>=0.7;curv_rank_spread>=0.7,0.8641,0.8641,0.7558,0.0,773,773,0,0.0,0,773.0,0.9593945454545454,0.7995928454545453,0.050452781371280724,0.8318760685705371,0.7379237828079938
Tongji,Tongji1_CY45-05_1--10.pkl,NCA,curv_rank_spread>=0.7,0.8633,0.5514,0.8633,0.0,334,334,0,0.0,0,348.0,0.9516865636405241,0.7965493359721062,0.5258620689655172,0.22508230809218507,0.26207553495953123
ZN-coin,ZN-coin_436-1_20231227204646_03_5.pkl,MnO2,curv_rank_spread>=0.7,0.8633,0.0,0.8633,,1402,1402,0,0.0,0,1402.0,1.0,0.7996903488084182,0.07560627674750357,,
MATR,MATR_b4c18.pkl,LFP,knee_rank_spread>=0.7,0.8632,0.8632,0.6708,0.0,906,906,0,0.0,0,906.0,0.9554094545454546,0.7992877727272727,0.05077262693156733,0.8438910889990794,0.7543967401462423
MATR,MATR_b4c7.pkl,LFP,knee_rank_spread>=0.7;curv_rank_spread>=0.7,0.8624,0.8624,0.8,0.0,529,529,0,0.0,0,529.0,0.956401,0.7997148727272727,0.05103969754253308,0.8480265220241093,0.7534838917696564
Tongji,Tongji1_CY45-05_1--5.pkl,NCA,curv_rank_spread>=0.7,0.8617,0.6835,0.8617,0.0164,216,199,17,0.078704,0,224.0,0.9549297685663517,0.8,0.84375,0.3112302584350323,0.3106196755500264
XJTU,XJTU_2C_battery-8.pkl,NMC,curv_rank_spread>=0.7,0.8617,0.0738,0.8617,0.0,418,418,0,0.0,0,418.0,0.9465,0.8,0.24401913875598086,0.43903368517227287,0.5055105662757109
ZN-coin,ZN-coin_442-2_20240104212424_09_2.pkl,MnO2,knee_rank_spread>=0.7,0.8599,0.8599,0.635,0.0,324,324,0,0.0,0,324.0,1.0,0.6410507373455335,0.9444444444444444,0.2350316396798809,0.2535627520869622
MATR,MATR_b4c16.pkl,LFP,knee_rank_spread>=0.7,0.8597,0.8597,0.6633,0.0,909,909,0,0.0,0,909.0,0.9608135454545454,0.7996275727272727,0.050605060506050605,0.8358591638058278,0.7530555923115001
RWTH,RWTH_004.pkl,NMC,curv_rank_spread>=0.7,0.8575,0.6165,0.8575,0.008,633,633,0,0.0,1,636.0,0.9314959165336651,0.8000763360954598,0.49056603773584906,0.38639344521348895,0.09115661207237188
MATR,MATR_b3c20.pkl,LFP,knee_rank_spread>=0.7;curv_rank_spread>=0.7,0.8574,0.8574,0.705,0.0,812,811,1,0.001232,0,812.0,0.9682274545454544,0.8,0.050492610837438424,0.8318656088323392,0.7518815357296627
Tongji,Tongji1_CY45-05_1--14.pkl,NCA,knee_rank_spread>=0.7;curv_rank_spread>=0.7,0.8567,0.8135,0.8567,0.0,433,433,0,0.0,0,434.0,0.9542405585596477,0.7995899771941655,0.9308755760368663,0.2722136025750874,0.28030785883780857
Tongji,Tongji2_CY35-05_1--1.pkl,NMC,curv_rank_spread>=0.7,0.8567,0.3794,0.8567,0.0,427,427,0,0.0,0,436.0,0.9162754613992753,0.7985662582197889,0.3486238532110092,0.23218154995159285,0.2917429535380779
Tongji,Tongji2_CY45-05_1--17.pkl,NMC,curv_rank_spread>=0.7,0.8567,0.5982,0.8567,0.0,425,425,0,0.0,0,426.0,0.9531167421734715,0.7997207677091475,0.5539906103286385,0.21625970226720456,0.29863905451932443
Tongji,Tongji2_CY45-05_1--23.pkl,NMC,curv_rank_spread>=0.7,0.8567,0.484,0.8567,0.0,433,433,0,0.0,0,435.0,0.9488807967650598,0.7994295495824033,0.46436781609195404,0.2241864494888234,0.2891612749637985
Tongji,Tongji1_CY25-05_1--6.pkl,NCA,knee_rank_spread>=0.7,0.8565,0.8565,0.3767,0.0,155,155,0,0.0,0,156.0,0.9324319717614953,0.7965126794852507,0.057692307692307696,0.7901623502126015,0.8905042322145971
MATR,MATR_b4c25.pkl,LFP,curv_rank_spread>=0.7,0.8558,0.6121,0.8558,0.0,453,453,0,0.0,0,453.0,0.9392684545454545,0.7998732545454544,0.13024282560706402,0.8400523589248673,0.729490757947098
Tongji,Tongji1_CY45-05_1--2.pkl,NCA,curv_rank_spread>=0.7,0.855,0.4832,0.855,0.0,404,404,0,0.0,0,421.0,0.9561567297808933,0.7955757712797624,0.4916864608076009,0.2723176452332923,0.2771925877156332
MATR,MATR_b4c4.pkl,LFP,knee_rank_spread>=0.7;curv_rank_spread>=0.7,0.8549,0.8549,0.715,0.0,656,656,0,0.0,0,656.0,0.9457486363636363,0.7997784272727272,0.053353658536585365,0.855998743718593,0.7565694617501598
ISU_ILCC,ISU-ILCC_G3C2.pkl,NMC,knee_rank_spread>=0.7,0.8545,0.8545,0.5117,0.0,456,456,0,0.0,0,456.0,0.9792467091787975,0.7993023681823359,0.8201754385964912,0.15412038261482858,0.4059204845678476
Stanford_2,Stanford_Nova_Regular_150.pkl,NMC,curv_rank_spread>=0.7,0.8542,0.0647,0.8542,0.0,469,469,0,0.0,0,469.0,1.0242479542891185,0.7998114451766014,0.8464818763326226,0.8239941712828536,0.7902002272092662
Tongji,Tongji1_CY45-05_1--11.pkl,NCA,curv_rank_spread>=0.7,0.8542,0.6037,0.8542,0.0,296,296,0,0.0,0,297.0,0.9532832832431181,0.7996348901776794,0.7205387205387206,0.2777608581628682,0.3090067773469213
Tongji,Tongji1_CY45-05_1--26.pkl,NCA,curv_rank_spread>=0.7,0.8542,0.5707,0.8542,0.0,355,355,0,0.0,0,356.0,0.9600234961411825,0.7995335621941273,0.5646067415730337,0.232976681158602,0.2682917621238773
MATR,MATR_b4c34.pkl,LFP,knee_rank_spread>=0.7,0.854,0.854,0.67,0.0,891,891,0,0.0,0,891.0,0.9547636363636364,0.7991609818181817,0.050505050505050504,0.83184722715711,0.7434808831241039
Tongji,Tongji2_CY45-05_1--18.pkl,NMC,curv_rank_spread>=0.7,0.8525,0.5142,0.8525,0.0,384,384,0,0.0,0,385.0,0.9452093106312781,0.7996940888394797,0.5116883116883116,0.2326502643085558,0.3017555464669283
MATR,MATR_b3c25.pkl,LFP,knee_rank_spread>=0.7;curv_rank_spread>=0.7,0.8523,0.8523,0.7025,0.0,989,987,2,0.002022,0,989.0,0.9646638181818181,0.8,0.05055611729019211,0.8318285055205249,0.7506631939071352
NA-ion,NA-ion_270040-3-8-49.pkl,미상,knee_rank_spread>=0.7,0.8519,0.8519,0.09,0.0,251,251,0,0.0,0,251.0,0.8943579,0.799672,0.05976095617529881,0.6721656089210997,0.904522983762843
MATR,MATR_b4c37.pkl,LFP,knee_rank_spread>=0.7,0.8516,0.8516,0.6858,0.0,863,863,0,0.0,0,863.0,0.9483651818181817,0.7996486545454545,0.05098493626882966,0.8438996838188626,0.7419484598809023
MATR,MATR_b4c11.pkl,LFP,knee_rank_spread>=0.7;curv_rank_spread>=0.7,0.8515,0.8515,0.77,0.0,863,863,0,0.0,0,863.0,0.9632215454545454,0.7996716818181817,0.05098493626882966,0.8438996838188626,0.7432651914748478
