subset,cell,chemistry,n_measured,boundary_branch,boundary_prefix_match,n_total,n_extrapolated,extrap_frac,pchip_changed,pchip_max_abs_diff,observed__knee_curvature_max_cycle,observed__knee_curvature_max_lifefrac,observed__knee_bilinear_cycle,observed__knee_bilinear_lifefrac,observed__knee_tangent_cross_cycle,observed__knee_tangent_cross_lifefrac,observed__curv_quad_coef_cycle,observed__curv_resid_signmean_cycle,observed__curv_slope_ratio_cycle,observed__curv_quad_coef_lifefrac,observed__curv_resid_signmean_lifefrac,observed__curv_slope_ratio_lifefrac,observed__eol_cycle,observed__n_points,observed__soh_first,observed__soh_last,observed__fade_rate_per_cycle,processed__knee_curvature_max_cycle,processed__knee_curvature_max_lifefrac,processed__knee_bilinear_cycle,processed__knee_bilinear_lifefrac,processed__knee_tangent_cross_cycle,processed__knee_tangent_cross_lifefrac,processed__curv_quad_coef_cycle,processed__curv_resid_signmean_cycle,processed__curv_slope_ratio_cycle,processed__curv_quad_coef_lifefrac,processed__curv_resid_signmean_lifefrac,processed__curv_slope_ratio_lifefrac,processed__eol_cycle,processed__n_points,processed__soh_first,processed__soh_last,processed__fade_rate_per_cycle
CALB,CALB_35_B173.pkl,NMC,1233,TRUNCATED_AT_EOL,1,1233,0,0.0,0,0.000e+00,635.0,0.5150040551500406,282.6884422110553,0.22926880957912027,116.17932534563634,0.09422491917732063,-2.5447270417343148e-08,-0.04460665044606651,0.708840133501631,-0.03868720529550915,-0.04460665044606651,0.7088401335016337,1233.0,1233,1.0,0.8999974232477285,8.117092268853209e-05,635.0,0.5150040551500406,282.6884422110553,0.22926880957912027,116.17932534563634,0.09422491917732063,-2.5447270417343148e-08,-0.04460665044606651,0.708840133501631,-0.03868720529550915,-0.04460665044606651,0.7088401335016337,1233.0,1233,1.0,0.8999974232477285,8.117092268853209e-05
CALB,CALB_35_B174.pkl,NMC,1272,TRUNCATED_AT_EOL,1,1272,0,0.0,0,0.000e+00,661.0,0.5196540880503144,751.4648241206031,0.5907742327992163,216.64164238583845,0.17031575659264028,-1.7331941089480855e-08,-0.11006289308176101,0.7843494568696406,-0.028042803371724,-0.11006289308176101,0.7843494568696319,1272.0,1272,1.0,0.899933329354346,7.873066140492054e-05,661.0,0.5196540880503144,751.4648241206031,0.5907742327992163,216.64164238583845,0.17031575659264028,-1.7331941089480855e-08,-0.11006289308176101,0.7843494568696406,-0.028042803371724,-0.11006289308176101,0.7843494568696319,1272.0,1272,1.0,0.899933329354346,7.873066140492054e-05
CALB,CALB_35_B175.pkl,NMC,1352,TRUNCATED_AT_EOL,1,1352,0,0.0,0,0.000e+00,1283.0,0.9489644970414202,771.5452261306534,0.5706695459546253,496.277291566536,0.36706900263797043,-2.4873286557647233e-08,0.0621301775147929,0.6441105451886301,-0.045465979991870784,0.0621301775147929,0.6441105451886319,1352.0,1352,1.0,0.8658155994241199,9.932228021900822e-05,1283.0,0.9489644970414202,771.5452261306534,0.5706695459546253,496.277291566536,0.36706900263797043,-2.4873286557647233e-08,0.0621301775147929,0.6441105451886301,-0.045465979991870784,0.0621301775147929,0.6441105451886319,1352.0,1352,1.0,0.8658155994241199,9.932228021900822e-05
CALB,CALB_35_B222.pkl,NMC,1260,TRUNCATED_AT_EOL,1,1260,0,0.0,0,0.000e+00,660.0,0.5238095238095238,182.5743718592965,0.1449002951264258,118.32471533100038,0.09390850423095268,-1.2409625228045156e-08,-0.08253968253968254,0.863240560313603,-0.019701521012048293,-0.08253968253968254,0.8632405603135989,1260.0,1260,1.0,0.8999859229470852,7.94392986917512e-05,660.0,0.5238095238095238,182.5743718592965,0.1449002951264258,118.32471533100038,0.09390850423095268,-1.2409625228045156e-08,-0.08253968253968254,0.863240560313603,-0.019701521012048293,-0.08253968253968254,0.8632405603135989,1260.0,1260,1.0,0.8999859229470852,7.94392986917512e-05
CALB,CALB_35_B223.pkl,NMC,1267,TRUNCATED_AT_EOL,1,1267,0,0.0,0,0.000e+00,664.0,0.5240726124704025,346.4462311557789,0.27343822506375604,69.9739559991957,0.0552280631406438,-2.5427859793932643e-08,-0.122336227308603,0.6822438500154574,-0.040819063620739636,-0.122336227308603,0.6822438500154555,1267.0,1267,1.0,0.899970001453959,7.901263708218088e-05,664.0,0.5240726124704025,346.4462311557789,0.27343822506375604,69.9739559991957,0.0552280631406438,-2.5427859793932643e-08,-0.122336227308603,0.6822438500154574,-0.040819063620739636,-0.122336227308603,0.6822438500154555,1267.0,1267,1.0,0.899970001453959,7.901263708218088e-05
CALB,CALB_35_B224.pkl,NMC,1283,TRUNCATED_AT_EOL,1,1283,0,0.0,0,0.000e+00,726.0,0.5658612626656274,386.8884422110553,0.3015498380444702,173.84983691130338,0.13550260086617566,-3.324571210727274e-08,0.041309431021044424,0.588622213132958,-0.05472540099694739,0.041309431021044424,0.5886222131329576,1283.0,1283,1.0,0.8999192698077653,7.806609219363084e-05,726.0,0.5658612626656274,386.8884422110553,0.3015498380444702,173.84983691130338,0.13550260086617566,-3.324571210727274e-08,0.041309431021044424,0.588622213132958,-0.05472540099694739,0.041309431021044424,0.5886222131329576,1283.0,1283,1.0,0.8999192698077653,7.806609219363084e-05
CALB,CALB_35_B227.pkl,NMC,1241,TRUNCATED_AT_EOL,1,1241,0,0.0,0,0.000e+00,662.0,0.5334407735697019,229.68341708542715,0.18507930466190745,264.6190644073284,0.21323051120654987,-1.7547837788133016e-08,-0.0362610797743755,0.81124912940757,-0.02702509156858636,-0.0362610797743755,0.81124912940757,1241.0,1241,1.0,0.8999703911585425,8.066903938827218e-05,662.0,0.5334407735697019,229.68341708542715,0.18507930466190745,264.6190644073284,0.21323051120654987,-1.7547837788133016e-08,-0.0362610797743755,0.81124912940757,-0.02702509156858636,-0.0362610797743755,0.81124912940757,1241.0,1241,1.0,0.8999703911585425,8.066903938827218e-05
CALB,CALB_35_B228.pkl,NMC,1243,TRUNCATED_AT_EOL,1,1243,0,0.0,0,0.000e+00,660.0,0.5309734513274337,,,142.42469755260876,0.11458141396026449,-2.1925834252501605e-10,0.07642799678197908,1.0712742152964851,-0.000338764882862091,0.07642799678197908,1.071274215296494,1243.0,1243,1.0,0.8999973100047016,8.051746376433042e-05,660.0,0.5309734513274337,,,142.42469755260876,0.11458141396026449,-2.1925834252501605e-10,0.07642799678197908,1.0712742152964851,-0.000338764882862091,0.07642799678197908,1.071274215296494,1243.0,1243,1.0,0.8999973100047016,8.051746376433042e-05
CALB,CALB_35_B229.pkl,NMC,1171,TRUNCATED_AT_EOL,1,1171,0,0.0,0,0.000e+00,727.0,0.6208368915456874,169.7386934673367,0.14495191585596645,80.2069755836068,0.06849442833783673,-1.1621807016590106e-08,-0.04526046114432109,0.9066213089424987,-0.01593629827523711,-0.04526046114432109,0.9066213089424978,1171.0,1171,1.0,0.8998754655720935,8.557652515205682e-05,727.0,0.6208368915456874,169.7386934673367,0.14495191585596645,80.2069755836068,0.06849442833783673,-1.1621807016590106e-08,-0.04526046114432109,0.9066213089424987,-0.01593629827523711,-0.04526046114432109,0.9066213089424978,1171.0,1171,1.0,0.8998754655720935,8.557652515205682e-05
CALB,CALB_35_B230.pkl,NMC,1253,TRUNCATED_AT_EOL,1,1253,0,0.0,0,0.000e+00,725.0,0.578611332801277,297.32763819095476,0.23729260829286095,241.23136122713655,0.19252303370082724,-3.177241827559059e-08,0.053471667996807665,0.6414967855990971,-0.0498829826444386,0.053471667996807665,0.6414967855991035,1253.0,1253,1.0,0.8999684413642071,7.989741105095282e-05,725.0,0.578611332801277,297.32763819095476,0.23729260829286095,241.23136122713655,0.19252303370082724,-3.177241827559059e-08,0.053471667996807665,0.6414967855990971,-0.0498829826444386,0.053471667996807665,0.6414967855991035,1253.0,1253,1.0,0.8999684413642071,7.989741105095282e-05
CALB,CALB_35_B247.pkl,NMC,1411,TRUNCATED_AT_EOL,1,1411,0,0.0,0,0.000e+00,434.0,0.30758327427356486,618.140703517588,0.43808696209609355,539.1222779011097,0.3820852430199218,-5.6087035371562886e-08,-0.33947554925584694,0.1671695157690127,-0.11166485654898696,-0.33947554925584694,0.16716951576899433,1411.0,1411,1.0,0.8999578762394619,7.095186082307667e-05,434.0,0.30758327427356486,618.140703517588,0.43808696209609355,539.1222779011097,0.3820852430199218,-5.6087035371562886e-08,-0.33947554925584694,0.1671695157690127,-0.11166485654898696,-0.33947554925584694,0.16716951576899433,1411.0,1411,1.0,0.8999578762394619,7.095186082307667e-05
CALB,CALB_35_B248.pkl,NMC,1318,TRUNCATED_AT_EOL,1,1318,0,0.0,0,0.000e+00,345.0,0.26176024279210924,222.70603015075378,0.1689727087638496,206.86243487998559,0.15695177153261425,-1.2553919976073189e-08,-0.02276176024279211,0.847282741473413,-0.021807715684516317,-0.02276176024279211,0.8472827414734158,1318.0,1318,1.0,0.8999342164481892,7.598009381306821e-05,345.0,0.26176024279210924,222.70603015075378,0.1689727087638496,206.86243487998559,0.15695177153261425,-1.2553919976073189e-08,-0.02276176024279211,0.847282741473413,-0.021807715684516317,-0.02276176024279211,0.8472827414734158,1318.0,1318,1.0,0.8999342164481892,7.598009381306821e-05
CALB,CALB_35_B249.pkl,NMC,1301,TRUNCATED_AT_EOL,1,1301,0,0.0,0,0.000e+00,635.0,0.4880860876249039,732.0050251256282,0.5626479824178541,456.8578286506733,0.35115897667230844,-4.243690975494552e-08,0.03766333589546503,0.493014859093114,-0.07182875588812893,0.03766333589546503,0.4930148590931148,1301.0,1301,1.0,0.8998712330919053,7.702212839084207e-05,635.0,0.4880860876249039,732.0050251256282,0.5626479824178541,456.8578286506733,0.35115897667230844,-4.243690975494552e-08,0.03766333589546503,0.493014859093114,-0.07182875588812893,0.03766333589546503,0.4930148590931148,1301.0,1301,1.0,0.8998712330919053,7.702212839084207e-05
CALB,CALB_35_B250.pkl,NMC,1260,TRUNCATED_AT_EOL,1,1260,0,0.0,0,0.000e+00,660.0,0.5238095238095238,319.22964824120606,0.25335686368349686,190.33079333311224,0.1510561851850097,-2.840642524987687e-08,0.02857142857142857,0.6579228895515761,-0.04509804072670594,0.02857142857142857,0.6579228895515752,1260.0,1260,1.0,0.8999863533347677,7.943895684291681e-05,660.0,0.5238095238095238,319.22964824120606,0.25335686368349686,190.33079333311224,0.1510561851850097,-2.840642524987687e-08,0.02857142857142857,0.6579228895515761,-0.04509804072670594,0.02857142857142857,0.6579228895515752,1260.0,1260,1.0,0.8999863533347677,7.943895684291681e-05
CALB,CALB_45_B253.pkl,NMC,1011,EXTRAPOLATED_CANDIDATE,1,1011,0,0.0,0,0.000e+00,929.0,0.9188921859545005,,,552.9507126389874,0.5469344338664563,-2.8144070881070466e-08,0.31750741839762614,0.8700729424726324,-0.02876664587302614,0.31750741839762614,0.8700729424726318,1011.0,1011,1.0,0.9206643464448983,7.855015203475421e-05,929.0,0.9188921859545005,,,552.9507126389874,0.5469344338664563,-2.8144070881070466e-08,0.31750741839762614,0.8700729424726324,-0.02876664587302614,0.31750741839762614,0.8700729424726318,1011.0,1011,1.0,0.9206643464448983,7.855015203475421e-05
CALB,CALB_45_B255.pkl,NMC,993,TRUNCATED_AT_EOL,1,993,0,0.0,0,0.000e+00,52.0,0.05236656596173213,140.07939698492464,0.14106686504020607,130.74980561190026,0.13167150615498516,-2.550176211411892e-08,0.015105740181268883,0.8297690463654864,-0.025145987030864018,0.015105740181268883,0.8297690463654955,993.0,993,1.0,0.887658040928779,0.00011324794261211797,52.0,0.05236656596173213,140.07939698492464,0.14106686504020607,130.74980561190026,0.13167150615498516,-2.550176211411892e-08,0.015105740181268883,0.8297690463654864,-0.025145987030864018,0.015105740181268883,0.8297690463654955,993.0,993,1.0,0.887658040928779,0.00011324794261211797
CALB,CALB_45_B256.pkl,NMC,986,TRUNCATED_AT_EOL,1,986,0,0.0,0,0.000e+00,935.0,0.9482758620689655,147.0175879396985,0.1491050587623717,344.9733148936057,0.3498715161192755,-3.5727488984981815e-08,0.13184584178498987,0.7295891468654567,-0.034734121881240754,0.13184584178498987,0.7295891468654566,986.0,986,1.0,0.8813683679780235,0.00012043820509845326,935.0,0.9482758620689655,147.0175879396985,0.1491050587623717,344.9733148936057,0.3498715161192755,-3.5727488984981815e-08,0.13184584178498987,0.7295891468654567,-0.034734121881240754,0.13184584178498987,0.7295891468654566,986.0,986,1.0,0.8813683679780235,0.00012043820509845326
CALCE,CALCE_CS2_33.pkl,LCO,473,TRUNCATED_AT_EOL,1,473,0,0.0,0,0.000e+00,243.0,0.5137420718816068,368.8753768844221,0.7798633760770024,466.4534495761673,0.9861595128460197,-6.630720000725546e-07,0.16279069767441862,0.5253142660484246,-0.14834843550422963,0.16279069767441862,0.5253142660484297,473.0,473,1.046180547764186,0.7976519916431791,0.0005265435511038279,243.0,0.5137420718816068,368.8753768844221,0.7798633760770024,466.4534495761673,0.9861595128460197,-6.630720000725546e-07,0.16279069767441862,0.5253142660484246,-0.14834843550422963,0.16279069767441862,0.5253142660484297,473.0,473,1.046180547764186,0.7976519916431791,0.0005265435511038279
CALCE,CALCE_CS2_34.pkl,LCO,448,TRUNCATED_AT_EOL,1,448,0,0.0,0,0.000e+00,375.0,0.8370535714285714,343.9994974874372,0.7678560211773152,418.6074878025898,0.9343917138450665,-6.301743606776172e-07,0.0625,0.5855489409395032,-0.12647851488544137,0.0625,0.5855489409395012,448.0,448,1.0388673950958287,0.7993617405859477,0.0005358068333554386,375.0,0.8370535714285714,343.9994974874372,0.7678560211773152,418.6074878025898,0.9343917138450665,-6.301743606776172e-07,0.0625,0.5855489409395032,-0.12647851488544137,0.0625,0.5855489409395012,448.0,448,1.0388673950958287,0.7993617405859477,0.0005358068333554386
CALCE,CALCE_CS2_35.pkl,LCO,518,TRUNCATED_AT_EOL,1,518,0,0.0,0,0.000e+00,130.0,0.25096525096525096,389.39949748743726,0.7517364816359793,,,-6.718969877580395e-08,-0.11196911196911197,0.950913749653744,-0.018028608734318354,-0.11196911196911197,0.9509137496537455,518.0,518,1.010032321378112,0.796638505796241,0.00041275399532276786,130.0,0.25096525096525096,389.39949748743726,0.7517364816359793,,,-6.718969877580395e-08,-0.11196911196911197,0.950913749653744,-0.018028608734318354,-0.11196911196911197,0.9509137496537455,518.0,518,1.010032321378112,0.796638505796241,0.00041275399532276786
CALCE,CALCE_CS2_36.pkl,LCO,487,TRUNCATED_AT_EOL,1,487,0,0.0,0,0.000e+00,195.0,0.4004106776180698,348.52663316582914,0.7156604377121748,,,-3.7728433952841e-07,0.030800821355236138,0.5840159534297878,-0.08948014952161344,0.030800821355236138,0.5840159534297855,487.0,487,1.022679530577313,0.7943504115073926,0.00046981300220148245,195.0,0.4004106776180698,348.52663316582914,0.7156604377121748,,,-3.7728433952841e-07,0.030800821355236138,0.5840159534297878,-0.08948014952161344,0.030800821355236138,0.5840159534297855,487.0,487,1.022679530577313,0.7943504115073926,0.00046981300220148245
CALCE,CALCE_CS2_37.pkl,LCO,538,TRUNCATED_AT_EOL,1,538,0,0.0,0,0.000e+00,385.0,0.7156133828996283,,,,,9.993412654061934e-08,-0.01858736059479554,1.1535610911452703,0.02892533332242277,-0.01858736059479554,1.153561091145267,538.0,538,1.008723639148113,0.7966222735541242,0.00039497461004467176,385.0,0.7156133828996283,,,,,9.993412654061934e-08,-0.01858736059479554,1.1535610911452703,0.02892533332242277,-0.01858736059479554,1.153561091145267,538.0,538,1.008723639148113,0.7966222735541242,0.00039497461004467176
CALCE,CALCE_CS2_38.pkl,LCO,568,TRUNCATED_AT_EOL,1,568,0,0.0,0,0.000e+00,177.0,0.31161971830985913,59.97939698492463,0.10559752990303631,,,7.689552312785887e-08,-0.08098591549295775,1.165802163024181,0.024808341253601037,-0.08098591549295775,1.165802163024175,568.0,568,1.0128410075568086,0.7956391255898585,0.0003830721022344799,177.0,0.31161971830985913,59.97939698492463,0.10559752990303631,,,7.689552312785887e-08,-0.08098591549295775,1.165802163024181,0.024808341253601037,-0.08098591549295775,1.165802163024175,568.0,568,1.0128410075568086,0.7956391255898585,0.0003830721022344799
CALCE,CALCE_CX2_16.pkl,LCO,829,TRUNCATED_AT_EOL,1,829,0,0.0,0,0.000e+00,437.0,0.5265060240963856,690.6130653266332,0.8320639341284738,,,-1.538660850607771e-08,-0.020506634499396863,1.038250951900671,-0.010599834599836471,-0.020506634499396863,1.0382509519006684,830.0,829,0.9403412143265942,0.7993555467819341,0.00017027254534379243,437.0,0.5265060240963856,690.6130653266332,0.8320639341284738,,,-1.538660850607771e-08,-0.020506634499396863,1.038250951900671,-0.010599834599836471,-0.020506634499396863,1.0382509519006684,830.0,829,0.9403412143265942,0.7993555467819341,0.00017027254534379243
CALCE,CALCE_CX2_33.pkl,LCO,534,TRUNCATED_AT_EOL,1,534,0,0.0,0,0.000e+00,139.0,0.2602996254681648,193.57638190954773,0.362502587845595,,,-1.804469850457134e-07,-0.08614232209737828,0.7062797934806962,-0.05145554046769569,-0.08614232209737828,0.7062797934806982,534.0,534,0.9570622268165961,0.799556840492688,0.0002955072914144617,139.0,0.2602996254681648,193.57638190954773,0.362502587845595,,,-1.804469850457134e-07,-0.08614232209737828,0.7062797934806962,-0.05145554046769569,-0.08614232209737828,0.7062797934806982,534.0,534,0.9570622268165961,0.799556840492688,0.0002955072914144617
CALCE,CALCE_CX2_34.pkl,LCO,534,TRUNCATED_AT_EOL,1,534,0,0.0,0,0.000e+00,138.0,0.25842696629213485,,,,,5.3236177598562914e-08,-0.07116104868913857,1.1080366565848434,0.015180615459296323,-0.07116104868913857,1.1080366565848552,534.0,534,0.9880904481834806,0.7990027198878735,0.00035476121631445977,138.0,0.25842696629213485,,,,,5.3236177598562914e-08,-0.07116104868913857,1.1080366565848434,0.015180615459296323,-0.07116104868913857,1.1080366565848552,534.0,534,0.9880904481834806,0.7990027198878735,0.00035476121631445977
CALCE,CALCE_CX2_35.pkl,LCO,739,TRUNCATED_AT_EOL,1,739,0,0.0,0,0.000e+00,420.0,0.5683355886332883,454.5547738693468,0.6150944166026343,220.02573008038772,0.29773441147549085,-2.789701790174209e-08,-0.11231393775372124,0.8788142865397666,-0.01523514731351693,-0.11231393775372124,0.8788142865397629,739.0,739,1.0033713125055816,0.7996078087194262,0.0002761023086533272,420.0,0.5683355886332883,454.5547738693468,0.6150944166026343,220.02573008038772,0.29773441147549085,-2.789701790174209e-08,-0.11231393775372124,0.8788142865397666,-0.01523514731351693,-0.11231393775372124,0.8788142865397629,739.0,739,1.0033713125055816,0.7996078087194262,0.0002761023086533272
CALCE,CALCE_CX2_36.pkl,LCO,519,TRUNCATED_AT_EOL,1,519,0,0.0,0,0.000e+00,203.0,0.3911368015414258,88.20100502512564,0.16994413299638852,,,4.2066114552740573e-07,-0.04431599229287091,2.198930961200344,0.11330970682040689,-0.04431599229287091,2.198930961200334,519.0,519,0.9977744026196054,0.7985119541017843,0.0003846765415401951,203.0,0.3911368015414258,88.20100502512564,0.16994413299638852,,,4.2066114552740573e-07,-0.04431599229287091,2.198930961200344,0.11330970682040689,-0.04431599229287091,2.198930961200334,519.0,519,0.9977744026196054,0.7985119541017843,0.0003846765415401951
CALCE,CALCE_CX2_37.pkl,LCO,579,TRUNCATED_AT_EOL,1,579,0,0.0,0,0.000e+00,199.0,0.3436960276338515,82.03618090452262,0.1416859773825952,63.59901019278158,0.10984285007388873,2.4394903333471613e-07,-0.10535405872193437,1.6387296190529415,0.08178171788416572,-0.10535405872193437,1.6387296190529523,579.0,579,0.9995496399535674,0.7999987110575019,0.0003452438216194905,199.0,0.3436960276338515,82.03618090452262,0.1416859773825952,63.59901019278158,0.10984285007388873,2.4394903333471613e-07,-0.10535405872193437,1.6387296190529415,0.08178171788416572,-0.10535405872193437,1.6387296190529523,579.0,579,0.9995496399535674,0.7999987110575019,0.0003452438216194905
CALCE,CALCE_CX2_38.pkl,LCO,590,TRUNCATED_AT_EOL,1,590,0,0.0,0,0.000e+00,376.0,0.6372881355932203,85.9462311557789,0.14567157823013374,68.01102695112696,0.11527292703580841,2.255506199970424e-07,-0.1016949152542373,1.5780142758314697,0.07851417082096626,-0.1016949152542373,1.5780142758314717,590.0,590,1.0022198553040118,0.7983634638724123,0.0003461059277276732,376.0,0.6372881355932203,85.9462311557789,0.14567157823013374,68.01102695112696,0.11527292703580841,2.255506199970424e-07,-0.1016949152542373,1.5780142758314697,0.07851417082096626,-0.1016949152542373,1.5780142758314717,590.0,590,1.0022198553040118,0.7983634638724123,0.0003461059277276732
HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_a.pkl,블렌드,263,TRUNCATED_AT_EOL,1,263,0,0.0,1,1.332e-02,193.0,0.7338403041825095,137.79296482412062,0.5239276229054016,28.686814345996424,0.10907533971861759,4.34331221293327e-07,-0.011406844106463879,1.2488840563227233,0.03004225624563665,-0.011406844106463879,1.2488840563227048,263.0,263,0.9421428571428572,0.7971428571428573,0.0005534351145038164,80.0,0.3041825095057034,157.80502512562816,0.6000191069415519,149.87459667042975,0.5698653865795809,5.859865744972032e-07,-0.07224334600760456,1.3470418297284577,0.04053210537139305,-0.07224334600760456,1.3470418297284403,263.0,263,0.9421428571428572,0.7971428571428573,0.0005534351145038164
