cell,label_A,label_B,equal,abs_diff,rel_diff,in_test140,a_pass_rule5,b_pass_rule5
ISU-ILCC_G48C3.pkl,817,870,False,53,0.06487148102815178,True,True,True
ISU-ILCC_G41C1.pkl,694,739,False,45,0.06484149855907781,True,True,True
ISU-ILCC_G14C2.pkl,190,178,False,12,0.06315789473684211,True,True,True
ISU-ILCC_G7C1.pkl,1005,944,False,61,0.06069651741293532,False,True,True
ISU-ILCC_G42C1.pkl,1700,1803,False,103,0.060588235294117644,False,True,True
ISU-ILCC_G49C1.pkl,342,322,False,20,0.05847953216374269,False,True,True
ISU-ILCC_G52C4.pkl,755,712,False,43,0.05695364238410596,False,True,True
ISU-ILCC_G52C1.pkl,646,611,False,35,0.05417956656346749,False,True,True
ISU-ILCC_G61C4.pkl,1164,1227,False,63,0.05412371134020619,True,True,True
ISU-ILCC_G51C2.pkl,1021,1075,False,54,0.05288932419196866,False,True,True
ISU-ILCC_G13C2.pkl,906,861,False,45,0.04966887417218543,False,True,True
ISU-ILCC_G55C4.pkl,786,825,False,39,0.04961832061068702,False,True,True
ISU-ILCC_G28C3.pkl,628,597,False,31,0.04936305732484077,False,True,True
ISU-ILCC_G12C2.pkl,836,795,False,41,0.04904306220095694,True,True,True
ISU-ILCC_G1C4.pkl,2612,2485,False,127,0.04862174578866769,False,True,True
ISU-ILCC_G58C4.pkl,1220,1161,False,59,0.04836065573770492,True,True,True
ISU-ILCC_G6C4.pkl,3474,3315,False,159,0.045768566493955096,False,True,True
ISU-ILCC_G48C2.pkl,593,620,False,27,0.045531197301854974,False,True,True
ISU-ILCC_G7C3.pkl,1453,1387,False,66,0.04542326221610461,False,True,True
ISU-ILCC_G40C2.pkl,2739,2862,False,123,0.044906900328587074,False,True,True
ISU-ILCC_G28C2.pkl,440,421,False,19,0.04318181818181818,False,True,True
ISU-ILCC_G28C4.pkl,398,381,False,17,0.04271356783919598,False,True,True
ISU-ILCC_G49C4.pkl,3713,3558,False,155,0.041745219499057365,False,True,True
ISU-ILCC_G29C1.pkl,1133,1178,False,45,0.03971756398940865,False,True,True
ISU-ILCC_G17C2.pkl,716,689,False,27,0.03770949720670391,False,True,True
ISU-ILCC_G3C1.pkl,886,919,False,33,0.03724604966139955,True,True,True
ISU-ILCC_G10C3.pkl,602,580,False,22,0.036544850498338874,False,True,True
ISU-ILCC_G12C1.pkl,1560,1505,False,55,0.035256410256410256,False,True,True
ISU-ILCC_G34C4.pkl,2440,2526,False,86,0.03524590163934426,False,True,True
ISU-ILCC_G4C2.pkl,1500,1552,False,52,0.034666666666666665,False,True,True
ISU-ILCC_G41C3.pkl,781,808,False,27,0.034571062740076826,False,True,True
ISU-ILCC_G32C2.pkl,1354,1400,False,46,0.033973412112259974,False,True,True
ISU-ILCC_G45C3.pkl,532,514,False,18,0.03383458646616541,False,True,True
ISU-ILCC_G57C3.pkl,4999,4830,False,169,0.033806761352270454,False,True,True
ISU-ILCC_G6C2.pkl,4109,3978,False,131,0.031881236310537846,False,True,True
ISU-ILCC_G33C1.pkl,1667,1715,False,48,0.028794241151769647,False,True,True
ISU-ILCC_G31C3.pkl,744,765,False,21,0.028225806451612902,False,True,True
ISU-ILCC_G63C2.pkl,320,311,False,9,0.028125,False,True,True
ISU-ILCC_G43C4.pkl,2043,2100,False,57,0.027900146842878122,False,True,True
ISU-ILCC_G41C4.pkl,799,821,False,22,0.02753441802252816,False,True,True
ISU-ILCC_G55C3.pkl,738,757,False,19,0.025745257452574527,True,True,True
ISU-ILCC_G56C2.pkl,1019,1045,False,26,0.02551521099116781,False,True,True
ISU-ILCC_G60C1.pkl,515,502,False,13,0.02524271844660194,False,True,True
ISU-ILCC_G62C2.pkl,855,876,False,21,0.02456140350877193,False,True,True
ISU-ILCC_G63C4.pkl,590,576,False,14,0.023728813559322035,True,True,True
ISU-ILCC_G19C4.pkl,253,248,False,5,0.019762845849802372,False,True,True
ISU-ILCC_G52C2.pkl,519,509,False,10,0.019267822736030827,False,True,True
ISU-ILCC_G18C2.pkl,1737,1705,False,32,0.018422567645365574,False,True,True
ISU-ILCC_G8C2.pkl,614,603,False,11,0.017915309446254073,False,True,True
ISU-ILCC_G61C3.pkl,575,585,False,10,0.017391304347826087,False,True,True
ISU-ILCC_G60C3.pkl,408,401,False,7,0.01715686274509804,True,True,True
ISU-ILCC_G63C1.pkl,411,404,False,7,0.0170316301703163,False,True,True
ISU-ILCC_G58C3.pkl,1130,1111,False,19,0.016814159292035398,False,True,True
ISU-ILCC_G10C2.pkl,842,828,False,14,0.0166270783847981,False,True,True
ISU-ILCC_G54C3.pkl,3107,3058,False,49,0.015770840038622464,True,True,True
ISU-ILCC_G34C3.pkl,2244,2279,False,35,0.015597147950089126,False,True,True
ISU-ILCC_G33C2.pkl,1500,1523,False,23,0.015333333333333332,True,True,True
ISU-ILCC_G17C3.pkl,932,918,False,14,0.015021459227467811,False,True,True
ISU-ILCC_G41C2.pkl,735,724,False,11,0.014965986394557823,True,True,True
ISU-ILCC_G63C3.pkl,547,539,False,8,0.014625228519195612,False,True,True
ISU-ILCC_G30C2.pkl,658,649,False,9,0.013677811550151976,False,True,True
ISU-ILCC_G18C4.pkl,1597,1577,False,20,0.012523481527864746,False,True,True
ISU-ILCC_G60C2.pkl,320,316,False,4,0.0125,False,True,True
ISU-ILCC_G60C4.pkl,411,406,False,5,0.012165450121654502,False,True,True
ISU-ILCC_G59C1.pkl,3084,3121,False,37,0.011997405966277562,False,True,True
ISU-ILCC_G54C2.pkl,3323,3284,False,39,0.011736382786638579,False,True,True
ISU-ILCC_G30C1.pkl,440,435,False,5,0.011363636363636364,False,True,True
ISU-ILCC_G18C3.pkl,1701,1682,False,19,0.011169900058788948,False,True,True
ISU-ILCC_G46C1.pkl,643,636,False,7,0.01088646967340591,False,True,True
ISU-ILCC_G46C2.pkl,654,647,False,7,0.010703363914373088,False,True,True
ISU-ILCC_G4C4.pkl,1112,1123,False,11,0.009892086330935251,False,True,True
ISU-ILCC_G56C3.pkl,1025,1035,False,10,0.00975609756097561,False,True,True
ISU-ILCC_G7C2.pkl,1166,1155,False,11,0.009433962264150943,False,True,True
ISU-ILCC_G8C1.pkl,560,565,False,5,0.008928571428571428,True,True,True
ISU-ILCC_G33C4.pkl,1472,1485,False,13,0.008831521739130434,False,True,True
ISU-ILCC_G45C1.pkl,497,493,False,4,0.008048289738430584,False,True,True
ISU-ILCC_G2C1.pkl,1119,1110,False,9,0.00804289544235925,False,True,True
ISU-ILCC_G31C2.pkl,747,753,False,6,0.008032128514056224,False,True,True
ISU-ILCC_G45C2.pkl,502,498,False,4,0.00796812749003984,False,True,True
ISU-ILCC_G58C1.pkl,1521,1509,False,12,0.007889546351084813,False,True,True
ISU-ILCC_G56C1.pkl,1219,1210,False,9,0.007383100902378999,True,True,True
ISU-ILCC_G14C1.pkl,276,278,False,2,0.007246376811594203,False,True,True
ISU-ILCC_G7C4.pkl,1269,1260,False,9,0.0070921985815602835,False,True,True
ISU-ILCC_G59C4.pkl,2512,2528,False,16,0.006369426751592357,True,True,True
ISU-ILCC_G30C4.pkl,499,496,False,3,0.006012024048096192,False,True,True
ISU-ILCC_G46C3.pkl,502,499,False,3,0.00597609561752988,False,True,True
ISU-ILCC_G3C4.pkl,533,530,False,3,0.005628517823639775,True,True,True
ISU-ILCC_G31C4.pkl,716,720,False,4,0.00558659217877095,False,True,True
ISU-ILCC_G44C2.pkl,1989,1978,False,11,0.005530417295123178,False,True,True
ISU-ILCC_G43C2.pkl,2042,2051,False,9,0.004407443682664055,False,True,True
ISU-ILCC_G46C4.pkl,520,522,False,2,0.0038461538461538464,False,True,True
ISU-ILCC_G33C3.pkl,2646,2656,False,10,0.003779289493575208,True,True,True
ISU-ILCC_G40C4.pkl,2668,2678,False,10,0.0037481259370314842,False,True,True
ISU-ILCC_G31C1.pkl,537,539,False,2,0.0037243947858473,False,True,True
ISU-ILCC_G2C3.pkl,957,954,False,3,0.003134796238244514,True,True,True
ISU-ILCC_G44C1.pkl,1405,1401,False,4,0.0028469750889679717,False,True,True
ISU-ILCC_G25C1.pkl,726,728,False,2,0.0027548209366391185,False,True,True
ISU-ILCC_G2C2.pkl,743,741,False,2,0.0026917900403768506,True,True,True
ISU-ILCC_G25C2.pkl,826,824,False,2,0.002421307506053269,False,True,True
ISU-ILCC_G54C4.pkl,3005,2998,False,7,0.002329450915141431,True,True,True
ISU-ILCC_G25C3.pkl,935,937,False,2,0.0021390374331550803,False,True,True
ISU-ILCC_G45C4.pkl,546,545,False,1,0.0018315018315018315,False,True,True
ISU-ILCC_G4C1.pkl,1271,1269,False,2,0.0015735641227380016,False,True,True
ISU-ILCC_G50C2.pkl,2561,2557,False,4,0.0015618898867629833,False,True,True
ISU-ILCC_G62C3.pkl,715,714,False,1,0.0013986013986013986,False,True,True
ISU-ILCC_G8C4.pkl,763,762,False,1,0.001310615989515072,False,True,True
ISU-ILCC_G44C3.pkl,2144,2142,False,2,0.0009328358208955224,False,True,True
ISU-ILCC_G1C3.pkl,3211,3209,False,2,0.0006228589224540642,False,True,True
ISU-ILCC_G16C1.pkl,504,504,True,0,0.0,False,True,True
ISU-ILCC_G16C2.pkl,544,544,True,0,0.0,False,True,True
ISU-ILCC_G16C3.pkl,545,545,True,0,0.0,False,True,True
ISU-ILCC_G16C4.pkl,531,531,True,0,0.0,False,True,True
ISU-ILCC_G17C1.pkl,937,937,True,0,0.0,False,True,True
ISU-ILCC_G17C4.pkl,674,674,True,0,0.0,False,True,True
ISU-ILCC_G18C1.pkl,3285,3285,True,0,0.0,False,True,True
ISU-ILCC_G1C1.pkl,3323,3323,True,0,0.0,False,True,True
ISU-ILCC_G1C2.pkl,3204,3204,True,0,0.0,False,True,True
ISU-ILCC_G20C1.pkl,325,325,True,0,0.0,False,True,True
ISU-ILCC_G20C2.pkl,372,372,True,0,0.0,False,True,True
ISU-ILCC_G20C3.pkl,625,625,True,0,0.0,False,True,True
ISU-ILCC_G20C4.pkl,639,639,True,0,0.0,False,True,True
ISU-ILCC_G21C1.pkl,472,472,True,0,0.0,False,True,True
ISU-ILCC_G21C2.pkl,745,745,True,0,0.0,False,True,True
ISU-ILCC_G21C3.pkl,448,448,True,0,0.0,False,True,True
ISU-ILCC_G21C4.pkl,536,536,True,0,0.0,False,True,True
ISU-ILCC_G22C1.pkl,492,492,True,0,0.0,False,True,True
ISU-ILCC_G22C2.pkl,308,308,True,0,0.0,False,True,True
ISU-ILCC_G22C3.pkl,514,514,True,0,0.0,False,True,True
ISU-ILCC_G22C4.pkl,428,428,True,0,0.0,False,True,True
ISU-ILCC_G23C1.pkl,499,499,True,0,0.0,False,True,True
ISU-ILCC_G23C2.pkl,569,569,True,0,0.0,False,True,True
ISU-ILCC_G23C3.pkl,466,466,True,0,0.0,False,True,True
ISU-ILCC_G23C4.pkl,547,547,True,0,0.0,False,True,True
ISU-ILCC_G24C1.pkl,507,507,True,0,0.0,False,True,True
ISU-ILCC_G24C2.pkl,603,603,True,0,0.0,False,True,True
ISU-ILCC_G24C3.pkl,420,420,True,0,0.0,False,True,True
ISU-ILCC_G24C4.pkl,444,444,True,0,0.0,False,True,True
ISU-ILCC_G30C3.pkl,664,664,True,0,0.0,False,True,True
ISU-ILCC_G32C1.pkl,1608,1608,True,0,0.0,False,True,True
ISU-ILCC_G32C3.pkl,1593,1593,True,0,0.0,False,True,True
ISU-ILCC_G34C1.pkl,2593,2593,True,0,0.0,False,True,True
ISU-ILCC_G35C1.pkl,647,647,True,0,0.0,False,True,True
ISU-ILCC_G35C2.pkl,358,358,True,0,0.0,False,True,True
ISU-ILCC_G35C3.pkl,507,507,True,0,0.0,False,True,True
ISU-ILCC_G35C4.pkl,445,445,True,0,0.0,False,True,True
ISU-ILCC_G36C1.pkl,555,555,True,0,0.0,False,True,True
ISU-ILCC_G36C2.pkl,609,609,True,0,0.0,False,True,True
ISU-ILCC_G36C3.pkl,569,569,True,0,0.0,False,True,True
ISU-ILCC_G36C4.pkl,297,297,True,0,0.0,False,True,True
ISU-ILCC_G37C1.pkl,698,698,True,0,0.0,False,True,True
ISU-ILCC_G37C2.pkl,653,653,True,0,0.0,False,True,True
ISU-ILCC_G37C3.pkl,575,575,True,0,0.0,False,True,True
ISU-ILCC_G37C4.pkl,487,487,True,0,0.0,False,True,True
ISU-ILCC_G38C1.pkl,431,431,True,0,0.0,False,True,True
ISU-ILCC_G38C2.pkl,395,395,True,0,0.0,False,True,True
ISU-ILCC_G38C3.pkl,588,588,True,0,0.0,False,True,True
ISU-ILCC_G38C4.pkl,561,561,True,0,0.0,False,True,True
ISU-ILCC_G39C1.pkl,490,490,True,0,0.0,False,True,True
ISU-ILCC_G39C2.pkl,507,507,True,0,0.0,False,True,True
ISU-ILCC_G39C3.pkl,477,477,True,0,0.0,False,True,True
ISU-ILCC_G39C4.pkl,553,553,True,0,0.0,False,True,True
ISU-ILCC_G40C1.pkl,2953,2953,True,0,0.0,False,True,True
ISU-ILCC_G43C3.pkl,993,993,True,0,0.0,False,True,True
ISU-ILCC_G44C4.pkl,1443,1443,True,0,0.0,False,True,True
ISU-ILCC_G49C2.pkl,2036,2036,True,0,0.0,False,True,True
ISU-ILCC_G4C3.pkl,1567,1567,True,0,0.0,False,True,True
ISU-ILCC_G50C1.pkl,3157,3157,True,0,0.0,False,True,True
ISU-ILCC_G50C3.pkl,3343,3343,True,0,0.0,False,True,True
ISU-ILCC_G50C4.pkl,3151,3151,True,0,0.0,False,True,True
ISU-ILCC_G52C3.pkl,661,661,True,0,0.0,False,True,True
ISU-ILCC_G53C1.pkl,229,229,True,0,0.0,False,True,True
ISU-ILCC_G53C2.pkl,262,262,True,0,0.0,False,True,True
ISU-ILCC_G53C3.pkl,250,250,True,0,0.0,False,True,True
ISU-ILCC_G53C4.pkl,562,562,True,0,0.0,False,True,True
ISU-ILCC_G54C1.pkl,3139,3139,True,0,0.0,False,True,True
ISU-ILCC_G57C1.pkl,3936,3936,True,0,0.0,False,True,True
ISU-ILCC_G57C2.pkl,2755,2755,True,0,0.0,False,True,True
ISU-ILCC_G57C4.pkl,1882,1882,True,0,0.0,False,True,True
ISU-ILCC_G58C2.pkl,729,729,True,0,0.0,False,True,True
ISU-ILCC_G59C3.pkl,1371,1371,True,0,0.0,False,True,True
ISU-ILCC_G5C1.pkl,526,526,True,0,0.0,False,True,True
ISU-ILCC_G5C2.pkl,553,553,True,0,0.0,False,True,True
ISU-ILCC_G5C3.pkl,705,705,True,0,0.0,False,True,True
ISU-ILCC_G5C4.pkl,334,334,True,0,0.0,False,True,True
ISU-ILCC_G62C4.pkl,505,505,True,0,0.0,False,True,True
ISU-ILCC_G64C1.pkl,509,509,True,0,0.0,False,True,True
ISU-ILCC_G64C2.pkl,419,419,True,0,0.0,False,True,True
ISU-ILCC_G64C3.pkl,584,584,True,0,0.0,False,True,True
ISU-ILCC_G64C4.pkl,597,597,True,0,0.0,False,True,True
ISU-ILCC_G6C3.pkl,3791,3791,True,0,0.0,False,True,True
ISU-ILCC_G9C1.pkl,331,331,True,0,0.0,False,True,True
ISU-ILCC_G9C2.pkl,312,312,True,0,0.0,False,True,True
ISU-ILCC_G9C3.pkl,382,382,True,0,0.0,False,True,True
