subset,cell,life_label,split,n_cycles
MICH,MICH_BLForm7_pouch_NMC_45C_0-100_1-1C_g.pkl,321,test,457
Tongji,Tongji2_CY25-05_1-#13.pkl,321,train,399
XJTU,XJTU_3C_battery-4.pkl,321,train,321
XJTU,XJTU_3C_battery-6.pkl,321,train,321
Tongji,Tongji1_CY45-05_1-#18.pkl,322,train,596
Tongji,Tongji1_CY45-05_1-#10.pkl,322,val,399
MICH,MICH_BLForm10_pouch_NMC_25C_0-100_1-1C_j.pkl,323,train,459
ISU-ILCC,ISU-ILCC_G20C1.pkl,325,train,377
MICH,MICH_BLForm14_pouch_NMC_25C_0-100_1-1C_d.pkl,325,train,477
MICH,MICH_BLForm8_pouch_NMC_45C_0-100_1-1C_h.pkl,325,train,492
MICH,MICH_MCForm24_pouch_NMC_25C_0-100_1-1C_d.pkl,329,val,477
Tongji,Tongji2_CY25-05_1-#17.pkl,329,train,335
Tongji,Tongji1_CY45-05_1-#24.pkl,330,train,721
ISU-ILCC,ISU-ILCC_G9C1.pkl,331,train,354
SNL,SNL_18650_NCA_15C_0-100_0.5-1C_a.pkl,331,train,522
SNL,SNL_18650_NCA_25C_0-100_0.5-1C_c.pkl,333,test,522
SNL,SNL_18650_NMC_25C_0-100_0.5-1C_c.pkl,333,train,397
SNL,SNL_18650_NMC_25C_0-100_0.5-2C_a.pkl,333,train,661
ISU-ILCC,ISU-ILCC_G5C4.pkl,334,test,556
MATR,MATR_b2c3.pkl,334,train,360
SNL,SNL_18650_NCA_25C_0-100_0.5-2C_a.pkl,335,test,786
SNL,SNL_18650_NCA_35C_0-100_0.5-1C_b.pkl,337,train,464
Tongji,Tongji2_CY25-05_1-#5.pkl,339,train,479
ISU-ILCC,ISU-ILCC_G49C1.pkl,342,val,11637
MICH,MICH_BLForm6_pouch_NMC_45C_0-100_1-1C_f.pkl,345,test,454
MICH,MICH_MCForm35_pouch_NMC_45C_0-100_1-1C_e.pkl,351,train,446
MICH,MICH_MCForm29_pouch_NMC_25C_0-100_1-1C_i.pkl,355,train,553
Tongji,Tongji1_CY45-05_1-#26.pkl,355,train,709
ISU-ILCC,ISU-ILCC_G35C2.pkl,358,val,431
MICH,MICH_MCForm21_pouch_NMC_25C_0-100_1-1C_a.pkl,362,test,477
MICH,MICH_MCForm38_pouch_NMC_45C_0-100_1-1C_h.pkl,363,train,502
MICH,MICH_MCForm31_pouch_NMC_45C_0-100_1-1C_a.pkl,365,train,512
Tongji,Tongji1_CY35-05_1-#2.pkl,369,train,531
ISU-ILCC,ISU-ILCC_G20C2.pkl,372,train,418
MICH,MICH_BLForm3_pouch_NMC_45C_0-100_1-1C_c.pkl,373,val,513
MICH,MICH_MCForm30_pouch_NMC_25C_0-100_1-1C_j.pkl,375,train,540
MICH,MICH_MCForm27_pouch_NMC_25C_0-100_1-1C_g.pkl,376,train,540
Tongji,Tongji2_CY45-05_1-#11.pkl,377,train,799
SNL,SNL_18650_NCA_25C_0-100_0.5-1C_a.pkl,378,val,654
MICH,MICH_MCForm32_pouch_NMC_45C_0-100_1-1C_b.pkl,379,train,492
MICH,MICH_MCForm36_pouch_NMC_45C_0-100_1-1C_f.pkl,379,train,541
MICH,MICH_MCForm28_pouch_NMC_25C_0-100_1-1C_h.pkl,380,test,589
ISU-ILCC,ISU-ILCC_G9C3.pkl,382,train,384
SNL,SNL_18650_NCA_25C_0-100_0.5-1C_d.pkl,382,val,654
Tongji,Tongji2_CY45-05_1-#18.pkl,384,val,596
Tongji,Tongji2_CY45-05_1-#13.pkl,385,test,867
MICH,MICH_MCForm33_pouch_NMC_45C_0-100_1-1C_c.pkl,387,test,502
Tongji,Tongji2_CY45-05_1-#14.pkl,387,train,863
Tongji,Tongji1_CY45-05_1-#2.pkl,389,test,699
XJTU,XJTU_2C_battery-1.pkl,389,train,389
MICH,MICH_MCForm23_pouch_NMC_25C_0-100_1-1C_c.pkl,390,train,540
SNL,SNL_18650_NMC_25C_0-100_0.5-1C_d.pkl,391,train,529
MICH,MICH_MCForm40_pouch_NMC_45C_0-100_1-1C_j.pkl,392,test,540
XJTU,XJTU_2C_battery-3.pkl,392,val,392
ISU-ILCC,ISU-ILCC_G19C2.pkl,393,train,844
Tongji,Tongji2_CY45-05_1-#15.pkl,393,train,403
Tongji,Tongji2_CY45-05_1-#20.pkl,394,train,796
ISU-ILCC,ISU-ILCC_G38C2.pkl,395,train,564
MICH,MICH_MCForm39_pouch_NMC_45C_0-100_1-1C_i.pkl,395,train,541
SNL,SNL_18650_NCA_35C_0-100_0.5-1C_a.pkl,395,train,515
XJTU,XJTU_2C_battery-4.pkl,396,train,395
ISU-ILCC,ISU-ILCC_G28C4.pkl,398,train,1633
Tongji,Tongji2_CY45-05_1-#8.pkl,399,val,399
Tongji,Tongji2_CY45-05_1-#7.pkl,399,train,399
Tongji,Tongji2_CY45-05_1-#10.pkl,400,val,399
XJTU,XJTU_2C_battery-5.pkl,401,test,402
XJTU,XJTU_2C_battery-7.pkl,401,val,401
Tongji,Tongji2_CY45-05_1-#1.pkl,403,val,455
MICH,MICH_MCForm37_pouch_NMC_45C_0-100_1-1C_g.pkl,404,train,541
Tongji,Tongji2_CY45-05_1-#16.pkl,404,train,595
Tongji,Tongji1_CY35-05_1-#1.pkl,404,train,548
XJTU,XJTU_2C_battery-2.pkl,405,train,406
SNL,SNL_18650_NCA_35C_0-100_0.5-1C_c.pkl,406,train,515
SNL,SNL_18650_NMC_25C_0-100_0.5-1C_a.pkl,406,train,521
XJTU,XJTU_2C_battery-6.pkl,406,train,407
MICH,MICH_MCForm25_pouch_NMC_25C_0-100_1-1C_e.pkl,407,train,589
Tongji,Tongji2_CY45-05_1-#26.pkl,407,train,853
ISU-ILCC,ISU-ILCC_G60C3.pkl,408,test,3035
Tongji,Tongji2_CY45-05_1-#19.pkl,408,test,795
Tongji,Tongji1_CY45-05_1-#20.pkl,409,train,728
Tongji,Tongji2_CY45-05_1-#22.pkl,409,train,859
ISU-ILCC,ISU-ILCC_G63C1.pkl,411,val,2073
ISU-ILCC,ISU-ILCC_G60C4.pkl,411,val,3392
MICH,MICH_MCForm26_pouch_NMC_25C_0-100_1-1C_f.pkl,413,train,589
Tongji,Tongji2_CY45-05_1-#2.pkl,413,test,453
Tongji,Tongji2_CY45-05_1-#28.pkl,414,test,884
Tongji,Tongji1_CY45-05_1-#13.pkl,415,train,711
XJTU,XJTU_2C_battery-8.pkl,418,train,419
ISU-ILCC,ISU-ILCC_G64C2.pkl,419,val,1993
Tongji,Tongji2_CY45-05_1-#9.pkl,419,train,399
Tongji,Tongji2_CY35-05_1-#1.pkl,419,test,1101
ISU-ILCC,ISU-ILCC_G24C3.pkl,420,test,552
SNL,SNL_18650_NMC_25C_0-100_0.5-3C_a.pkl,422,train,730
Tongji,Tongji2_CY45-05_1-#24.pkl,423,train,888
Tongji,Tongji2_CY45-05_1-#17.pkl,425,test,596
ISU-ILCC,ISU-ILCC_G22C4.pkl,428,val,523
MATR,MATR_b2c46.pkl,428,val,448
MATR,MATR_b2c41.pkl,428,train,451
SNL,SNL_18650_NMC_25C_0-100_0.5-3C_b.pkl,428,train,552
ISU-ILCC,ISU-ILCC_G38C1.pkl,431,train,770
Tongji,Tongji2_CY45-05_1-#23.pkl,432,train,918
Tongji,Tongji1_CY45-05_1-#1.pkl,432,train,711
Tongji,Tongji1_CY45-05_1-#14.pkl,433,val,727
Tongji,Tongji1_CY45-05_1-#7.pkl,433,train,399
Tongji,Tongji1_CY45-05_1-#28.pkl,434,train,716
Tongji,Tongji2_CY45-05_1-#12.pkl,435,val,799
Tongji,Tongji3_CY25-05_2-#2.pkl,435,train,957
Tongji,Tongji2_CY45-05_1-#21.pkl,435,val,901
Tongji,Tongji1_CY45-05_1-#9.pkl,436,train,399
MATR,MATR_b2c2.pkl,437,val,463
ISU-ILCC,ISU-ILCC_G28C2.pkl,440,train,2110
ISU-ILCC,ISU-ILCC_G30C1.pkl,440,train,1452
Tongji,Tongji1_CY45-05_1-#25.pkl,440,test,738
MATR,MATR_b4c9.pkl,442,train,529
MATR,MATR_b2c4.pkl,443,train,470
ISU-ILCC,ISU-ILCC_G24C4.pkl,444,test,634
SNL,SNL_18650_NCA_35C_0-100_0.5-1C_d.pkl,444,train,654
ISU-ILCC,ISU-ILCC_G35C4.pkl,445,test,656
ISU-ILCC,ISU-ILCC_G27C3.pkl,446,train,3679
Tongji,Tongji3_CY25-05_2-#1.pkl,446,train,978
CALCE,CALCE_CS2_34.pkl,448,train,632
ISU-ILCC,ISU-ILCC_G21C3.pkl,448,val,737
Tongji,Tongji2_CY45-05_1-#27.pkl,450,train,928
Tongji,Tongji1_CY45-05_1-#23.pkl,451,train,690
Tongji,Tongji3_CY25-05_4-#3.pkl,452,test,905
MATR,MATR_b4c25.pkl,453,train,567
Tongji,Tongji2_CY45-05_1-#25.pkl,453,train,932
MATR,MATR_b2c44.pkl,455,train,477
MATR,MATR_b2c12.pkl,456,train,489
MICH,MICH_MCForm34_pouch_NMC_45C_0-100_1-1C_d.pkl,457,test,581
MATR,MATR_b2c39.pkl,458,train,479
Tongji,Tongji3_CY25-05_1-#2.pkl,458,train,954
MATR,MATR_b2c19.pkl,460,train,488
MATR,MATR_b2c25.pkl,460,val,486
Tongji,Tongji2_CY35-05_1-#4.pkl,460,train,1150
MATR,MATR_b2c43.pkl,461,test,486
MATR,MATR_b2c35.pkl,462,val,485
MATR,MATR_b2c38.pkl,464,train,486
MATR,MATR_b2c42.pkl,465,test,491
ISU-ILCC,ISU-ILCC_G51C1.pkl,466,train,4969
ISU-ILCC,ISU-ILCC_G23C3.pkl,466,train,629
MATR,MATR_b2c27.pkl,467,test,494
SNL,SNL_18650_NMC_25C_0-100_0.5-1C_b.pkl,468,val,785
Tongji,Tongji3_CY25-05_1-#3.pkl,469,train,993
Tongji,Tongji3_CY25-05_4-#2.pkl,469,train,976
MATR,MATR_b2c26.pkl,470,train,497
Tongji,Tongji3_CY25-05_2-#3.pkl,470,train,1025
ISU-ILCC,ISU-ILCC_G21C1.pkl,472,train,586
Tongji,Tongji1_CY45-05_1-#12.pkl,472,train,799
Tongji,Tongji2_CY35-05_1-#3.pkl,472,train,1206
CALCE,CALCE_CS2_33.pkl,473,train,660
Stanford,Stanford_Nova_Regular_Ref_102.pkl,473,train,719
ISU-ILCC,ISU-ILCC_G19C1.pkl,476,val,1002
MATR,MATR_b2c11.pkl,476,test,504
MATR,MATR_b4c26.pkl,476,train,579
ISU-ILCC,ISU-ILCC_G39C3.pkl,477,val,728
MATR,MATR_b2c37.pkl,477,train,501
MATR,MATR_b2c5.pkl,479,train,506
MATR,MATR_b2c30.pkl,480,train,506
Tongji,Tongji3_CY25-05_1-#1.pkl,481,test,935
MATR,MATR_b2c13.pkl,482,val,519
Tongji,Tongji3_CY25-05_4-#1.pkl,482,train,985
MATR,MATR_b2c14.pkl,484,train,508
MATR,MATR_b2c45.pkl,486,val,513
MATR,MATR_b2c18.pkl,486,train,522
CALCE,CALCE_CS2_36.pkl,487,train,832
ISU-ILCC,ISU-ILCC_G37C4.pkl,487,test,587
MATR,MATR_b2c21.pkl,488,train,519
ISU-ILCC,ISU-ILCC_G39C1.pkl,490,train,732
MATR,MATR_b2c31.pkl,491,train,518
ISU-ILCC,ISU-ILCC_G22C1.pkl,492,train,586
SNL,SNL_18650_NMC_25C_0-100_0.5-2C_b.pkl,492,train,1321
MATR,MATR_b2c17.pkl,493,train,524
MATR,MATR_b2c24.pkl,494,train,523
ISU-ILCC,ISU-ILCC_G45C1.pkl,497,train,4357
MATR,MATR_b2c29.pkl,497,train,521
MATR,MATR_b2c34.pkl,498,train,525
MATR,MATR_b2c40.pkl,498,val,529
ISU-ILCC,ISU-ILCC_G30C4.pkl,499,train,943
ISU-ILCC,ISU-ILCC_G23C1.pkl,499,test,679
MATR,MATR_b4c27.pkl,500,test,563
SNL,SNL_18650_NMC_35C_0-100_0.5-1C_a.pkl,500,train,786
MATR,MATR_b2c20.pkl,501,test,530
ISU-ILCC,ISU-ILCC_G46C3.pkl,502,train,4849
ISU-ILCC,ISU-ILCC_G45C2.pkl,502,val,5296
ISU-ILCC,ISU-ILCC_G16C1.pkl,504,test,745
ISU-ILCC,ISU-ILCC_G62C4.pkl,505,train,4441
MATR,MATR_b4c33.pkl,505,val,530
SNL,SNL_18650_NMC_25C_0-100_0.5-0.5C_b.pkl,506,train,679
ISU-ILCC,ISU-ILCC_G24C1.pkl,507,train,631
ISU-ILCC,ISU-ILCC_G35C3.pkl,507,train,761
ISU-ILCC,ISU-ILCC_G39C2.pkl,507,test,716
MATR,MATR_b2c28.pkl,508,train,540
ISU-ILCC,ISU-ILCC_G64C1.pkl,509,val,1500
MATR,MATR_b2c6.pkl,510,train,544
RWTH,RWTH_038.pkl,510,test,1964
MATR,MATR_b2c22.pkl,512,val,539
ISU-ILCC,ISU-ILCC_G22C3.pkl,514,test,650
ISU-ILCC,ISU-ILCC_G60C1.pkl,515,train,3740
CALCE,CALCE_CS2_35.pkl,518,train,780
MATR,MATR_b2c32.pkl,518,train,543
CALCE,CALCE_CX2_36.pkl,519,train,1568
ISU-ILCC,ISU-ILCC_G52C2.pkl,519,val,1895
MATR,MATR_b2c33.pkl,519,train,545
ISU-ILCC,ISU-ILCC_G46C4.pkl,520,train,6206
ISU-ILCC,ISU-ILCC_G3C2.pkl,522,train,1155
SNL,SNL_18650_NMC_35C_0-100_0.5-1C_b.pkl,523,test,786
ISU-ILCC,ISU-ILCC_G5C1.pkl,526,train,728
MATR,MATR_b2c23.pkl,526,test,561
MATR,MATR_b4c7.pkl,529,train,562
ISU-ILCC,ISU-ILCC_G16C4.pkl,531,val,723
ISU-ILCC,ISU-ILCC_G45C3.pkl,532,train,5457
ISU-ILCC,ISU-ILCC_G3C4.pkl,533,test,1164
MATR,MATR_b1c20.pkl,533,train,532
RWTH,RWTH_040.pkl,533,train,1944
CALCE,CALCE_CX2_33.pkl,534,train,1271
CALCE,CALCE_CX2_34.pkl,534,val,1363
MATR,MATR_b2c36.pkl,534,train,559
ISU-ILCC,ISU-ILCC_G21C4.pkl,536,train,659
ISU-ILCC,ISU-ILCC_G31C1.pkl,537,train,2395
CALCE,CALCE_CS2_37.pkl,538,train,905
RWTH,RWTH_039.pkl,538,train,1948
MATR,MATR_b3c28.pkl,539,train,539
ISU-ILCC,ISU-ILCC_G16C2.pkl,544,train,679
ISU-ILCC,ISU-ILCC_G16C3.pkl,545,train,698
ISU-ILCC,ISU-ILCC_G45C4.pkl,546,train,4418
ISU-ILCC,ISU-ILCC_G63C3.pkl,547,train,3695
ISU-ILCC,ISU-ILCC_G23C4.pkl,547,train,732
ISU-ILCC,ISU-ILCC_G39C4.pkl,553,train,912
ISU-ILCC,ISU-ILCC_G5C2.pkl,553,test,1673
ISU-ILCC,ISU-ILCC_G36C1.pkl,555,train,827
Stanford,Stanford_Nova_Regular_198.pkl,556,test,848
MATR,MATR_b1c21.pkl,557,train,557
MATR,MATR_b4c31.pkl,559,val,832
ISU-ILCC,ISU-ILCC_G8C1.pkl,560,test,1204
ISU-ILCC,ISU-ILCC_G62C1.pkl,560,train,8929
MATR,MATR_b2c10.pkl,560,train,595
ISU-ILCC,ISU-ILCC_G38C4.pkl,561,train,1135
ISU-ILCC,ISU-ILCC_G53C4.pkl,562,val,1472
SNL,SNL_18650_NMC_35C_0-100_0.5-2C_b.pkl,566,train,772
CALCE,CALCE_CS2_38.pkl,568,train,903
ISU-ILCC,ISU-ILCC_G23C2.pkl,569,train,741
ISU-ILCC,ISU-ILCC_G36C3.pkl,569,val,1053
Tongji,Tongji2_CY35-05_1-#2.pkl,569,test,1251
ISU-ILCC,ISU-ILCC_G19C3.pkl,570,val,1126
Stanford,Stanford_Nova_Regular_200.pkl,572,train,1027
ISU-ILCC,ISU-ILCC_G61C3.pkl,575,train,2952
ISU-ILCC,ISU-ILCC_G37C3.pkl,575,train,725
RWTH,RWTH_026.pkl,575,train,2007
RWTH,RWTH_046.pkl,576,train,2136
CALCE,CALCE_CX2_37.pkl,579,train,1072
RWTH,RWTH_014.pkl,579,val,2309
RWTH,RWTH_027.pkl,581,val,2012
ISU-ILCC,ISU-ILCC_G64C3.pkl,584,train,974
RWTH,RWTH_019.pkl,585,train,2287
Stanford,Stanford_Nova_Regular_204.pkl,587,test,835
ISU-ILCC,ISU-ILCC_G27C2.pkl,588,train,10367
ISU-ILCC,ISU-ILCC_G38C3.pkl,588,train,845
CALCE,CALCE_CX2_38.pkl,590,test,1579
ISU-ILCC,ISU-ILCC_G63C4.pkl,590,test,3667
SNL,SNL_18650_NMC_35C_0-100_0.5-1C_d.pkl,592,val,786
ISU-ILCC,ISU-ILCC_G48C2.pkl,593,val,5711
RWTH,RWTH_041.pkl,596,train,1944
Stanford,Stanford_Nova_Regular_221.pkl,596,train,848
ISU-ILCC,ISU-ILCC_G64C4.pkl,597,train,4357
MATR,MATR_b1c45.pkl,597,test,597
Stanford,Stanford_Nova_Regular_219.pkl,597,train,838
MATR,MATR_b4c36.pkl,599,test,713
RWTH,RWTH_042.pkl,599,train,1896
SNL,SNL_18650_NMC_25C_0-100_0.5-3C_d.pkl,600,val,905
ISU-ILCC,ISU-ILCC_G10C3.pkl,602,train,1952
SNL,SNL_18650_NMC_25C_0-100_0.5-3C_c.pkl,602,test,698
ISU-ILCC,ISU-ILCC_G24C2.pkl,603,train,756
Stanford,Stanford_Nova_Regular_195.pkl,603,val,1019
Stanford,Stanford_Nova_Regular_199.pkl,606,train,1006
ISU-ILCC,ISU-ILCC_G28C1.pkl,607,train,1693
MATR,MATR_b4c14.pkl,607,train,767
